Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	response to unfolded protein (GO:0006986)	6/49	1.315067e-07	1.403177e-04	0	0	3.045234e+01	4.824932e+02	HSP90AA1;HSPH1;BAG3;SERPINH1;HSPB1;HSPD1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	15/621	2.985675e-07	1.592858e-04	0	0	5.824982e+00	8.751610e+01	CCR1;HSP90AA1;CSF2;ANXA1;CSF1;TNFSF14;IFNGR1;LIF;HLA-A;PIK3R1;LMNB1;ISG20;HMOX1;GBP2;BIRC3
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	11/482	2.187056e-05	7.778630e-03	0	0	5.277045e+00	5.662464e+01	CCR1;HSP90AA1;CSF2;ANXA1;CSF1;IFI16;IFNGR1;LIF;HMOX1;PIK3R1;GBP2
GO_Biological_Process_2021	regulation of cellular response to heat (GO:1900034)	5/79	4.103747e-05	1.094675e-02	0	0	1.456301e+01	1.471014e+02	HSP90AA1;HSPH1;DNAJB6;BAG3;FKBP4
GO_Biological_Process_2021	regulation of hormone secretion (GO:0046883)	3/16	5.915530e-05	1.262374e-02	0	0	4.882979e+01	4.753748e+02	NMB;ANXA1;LIF
GO_Biological_Process_2021	negative regulation of multicellular organismal process (GO:0051241)	7/214	8.276653e-05	1.471865e-02	0	0	7.400537e+00	6.956125e+01	SRGN;RGS2;IFNGR1;ARRDC3;SPRY1;ATP2B1;SLC6A4
GO_Biological_Process_2021	regulation of programmed necrotic cell death (GO:0062098)	3/20	1.187396e-04	1.809930e-02	0	0	3.733292e+01	3.374365e+02	SDCBP;HSP90AA1;BIRC3
GO_Biological_Process_2021	regulation of bone mineralization (GO:0030500)	4/57	1.686377e-04	2.163951e-02	0	0	1.610874e+01	1.399489e+02	SRGN;CCR1;ATP2B1;GPM6B
GO_Biological_Process_2021	regulation of necroptotic process (GO:0060544)	3/23	1.825264e-04	2.163951e-02	0	0	3.172819e+01	2.731358e+02	SDCBP;HSP90AA1;BIRC3
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	8/335	2.258581e-04	2.409906e-02	0	0	5.381163e+00	4.517812e+01	CSF2;ANXA1;IFI16;PDE4B;HMOX1;HLA-A;HAVCR2;HSPD1
GO_Biological_Process_2021	regulation of cellular response to stress (GO:0080135)	5/118	2.745356e-04	2.662995e-02	0	0	9.518084e+00	7.805238e+01	HSP90AA1;HSPH1;DNAJB6;BAG3;FKBP4
GO_Biological_Process_2021	alpha-beta T cell activation (GO:0046631)	2/8	6.395776e-04	5.000878e-02	0	0	6.981404e+01	5.134615e+02	ANXA1;HLA-A
GO_Biological_Process_2021	negative regulation of phospholipase activity (GO:0010519)	2/8	6.395776e-04	5.000878e-02	0	0	6.981404e+01	5.134615e+02	RGS2;ANXA1
GO_Biological_Process_2021	cellular response to heat (GO:0034605)	3/36	7.030288e-04	5.000878e-02	0	0	1.921663e+01	1.395149e+02	HSP90AA1;BAG3;HMOX1
GO_Biological_Process_2021	positive regulation of myeloid leukocyte differentiation (GO:0002763)	3/36	7.030288e-04	5.000878e-02	0	0	1.921663e+01	1.395149e+02	CCR1;CSF1;LIF
GO_Biological_Process_2021	regulation of interferon-gamma production (GO:0032649)	4/86	8.144086e-04	5.431087e-02	0	0	1.039654e+01	7.395108e+01	PDE4B;HLA-A;HAVCR2;HSPD1
GO_Biological_Process_2021	negative regulation of inclusion body assembly (GO:0090084)	2/10	1.021411e-03	6.149255e-02	0	0	5.235526e+01	3.605482e+02	DNAJB6;DNAJA4
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	5/158	1.037363e-03	6.149255e-02	0	0	7.015487e+00	4.820393e+01	TRAT1;PDE4B;HLA-A;PIK3R1;NFKBID
GO_Biological_Process_2021	regulation of inclusion body assembly (GO:0090083)	2/11	1.244450e-03	6.639141e-02	0	0	4.653567e+01	3.112800e+02	DNAJB6;DNAJA4
GO_Biological_Process_2021	positive regulation of macrophage differentiation (GO:0045651)	2/11	1.244450e-03	6.639141e-02	0	0	4.653567e+01	3.112800e+02	CSF1;LIF
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	9/546	1.339451e-03	6.805689e-02	0	0	3.688294e+00	2.439989e+01	HSP90AA1;TNFSF14;TRAT1;RPL23;LIF;HMOX1;RPS20;PIK3R1;BIRC3
GO_Biological_Process_2021	positive regulation of organelle assembly (GO:1902117)	3/46	1.443197e-03	6.999508e-02	0	0	1.474023e+01	9.641427e+01	SDCBP;CSF2;CNOT6L
GO_Biological_Process_2021	regulation of interleukin-2 production (GO:0032663)	3/48	1.632898e-03	7.259594e-02	0	0	1.408369e+01	9.038064e+01	ANXA1;PDE4B;HAVCR2
GO_Biological_Process_2021	positive regulation of blood vessel endothelial cell migration (GO:0043536)	3/48	1.632898e-03	7.259594e-02	0	0	1.408369e+01	9.038064e+01	ANXA1;HSPB1;HMOX1
GO_Biological_Process_2021	protein stabilization (GO:0050821)	5/179	1.801334e-03	7.392397e-02	0	0	6.162231e+00	3.894054e+01	HSP90AA1;BAG3;RPL23;PIK3R1;HSPD1
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	5/179	1.801334e-03	7.392397e-02	0	0	6.162231e+00	3.894054e+01	KLRB1;KLRF1;HLA-A;KLRC1;BIRC3
