Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Allograft Rejection	8/200	5.868684e-06	1.271739e-04	0	0	9.227996e+00	1.111593e+02	CCR1;SRGN;CSF1;IFNGR1;TRAT1;LIF;HLA-A;GBP2
MSigDB_Hallmark_2020	Interferon Alpha Response	6/97	7.707511e-06	1.271739e-04	0	0	1.435479e+01	1.690034e+02	ISG20;CSF1;TXNIP;TENT5A;TMEM140;GBP2
MSigDB_Hallmark_2020	Apoptosis	7/161	1.345305e-05	1.479835e-04	0	0	9.974242e+00	1.118741e+02	ISG20;ANXA1;IFNGR1;HMOX1;HSPB1;TXNIP;BIRC3
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	7/200	5.407547e-05	4.306850e-04	0	0	7.943005e+00	7.804106e+01	DUSP4;CSF2;CSF1;LIF;PDE4B;ATP2B1;BIRC3
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	5/87	6.525530e-05	4.306850e-04	0	0	1.313693e+01	1.266033e+02	CCR1;CSF2;CSF1;IFNGR1;HMOX1
MSigDB_Hallmark_2020	Inflammatory Response	6/200	4.308290e-04	2.369560e-03	0	0	6.698425e+00	5.191145e+01	CSF1;RGS1;LIF;PDE4B;ATP2B1;CXCR6
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	5/199	2.852197e-03	1.202142e-02	0	0	5.521347e+00	3.235325e+01	CSF2;CSF1;IFNGR1;LIF;PLIN2
MSigDB_Hallmark_2020	Interferon Gamma Response	5/200	2.914283e-03	1.202142e-02	0	0	5.492754e+00	3.206742e+01	ISG20;PDE4B;ARID5B;TXNIP;HLA-A
MSigDB_Hallmark_2020	Fatty Acid Metabolism	3/158	4.162319e-02	1.526183e-01	0	0	4.066163e+00	1.292673e+01	HSP90AA1;HSPH1;GLUL
MSigDB_Hallmark_2020	Hypoxia	3/200	7.349061e-02	1.732279e-01	0	0	3.192461e+00	8.334232e+00	ISG20;HMOX1;PLIN2
MSigDB_Hallmark_2020	Complement	3/200	7.349061e-02	1.732279e-01	0	0	3.192461e+00	8.334232e+00	GZMK;SPOCK2;CD59
MSigDB_Hallmark_2020	mTORC1 Signaling	3/200	7.349061e-02	1.732279e-01	0	0	3.192461e+00	8.334232e+00	SERPINH1;CACYBP;HSPD1
MSigDB_Hallmark_2020	p53 Pathway	3/200	7.349061e-02	1.732279e-01	0	0	3.192461e+00	8.334232e+00	LIF;HMOX1;TXNIP
MSigDB_Hallmark_2020	KRAS Signaling Up	3/200	7.349061e-02	1.732279e-01	0	0	3.192461e+00	8.334232e+00	CSF2;LIF;BIRC3
MSigDB_Hallmark_2020	Unfolded Protein Response	2/113	1.043477e-01	2.295649e-01	0	0	3.753817e+00	8.483728e+00	BAG3;DNAJA4
MSigDB_Hallmark_2020	DNA Repair	2/150	1.648134e-01	3.399277e-01	0	0	2.810100e+00	5.066444e+00	SDCBP;PDE4B
MSigDB_Hallmark_2020	UV Response Up	2/158	1.786039e-01	3.467018e-01	0	0	2.664912e+00	4.590537e+00	HMOX1;FKBP4
MSigDB_Hallmark_2020	Apical Surface	1/44	1.927723e-01	3.480266e-01	0	0	4.811047e+00	7.920164e+00	HSPB1
MSigDB_Hallmark_2020	Myc Targets V2	1/58	2.460184e-01	3.480266e-01	0	0	3.626827e+00	5.086078e+00	HSPD1
MSigDB_Hallmark_2020	Adipogenesis	2/200	2.531103e-01	3.480266e-01	0	0	2.095162e+00	2.878606e+00	IFNGR1;PLIN2
MSigDB_Hallmark_2020	Estrogen Response Late	2/200	2.531103e-01	3.480266e-01	0	0	2.095162e+00	2.878606e+00	ISG20;FKBP4
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2/200	2.531103e-01	3.480266e-01	0	0	2.095162e+00	2.878606e+00	SERPINH1;CD59
MSigDB_Hallmark_2020	Glycolysis	2/200	2.531103e-01	3.480266e-01	0	0	2.095162e+00	2.878606e+00	ISG20;FKBP4
MSigDB_Hallmark_2020	heme Metabolism	2/200	2.531103e-01	3.480266e-01	0	0	2.095162e+00	2.878606e+00	SDCBP;CIR1
MSigDB_Hallmark_2020	Androgen Response	1/100	3.857721e-01	5.092192e-01	0	0	2.083754e+00	1.984794e+00	ARID5B
MSigDB_Hallmark_2020	Coagulation	1/138	4.899473e-01	6.168720e-01	0	0	1.502889e+00	1.072248e+00	ANXA1
MSigDB_Hallmark_2020	UV Response Dn	1/144	5.047134e-01	6.168720e-01	0	0	1.439394e+00	9.842064e-01	ATP2B1
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	6.217987e-01	6.236514e-01	0	0	1.036669e+00	4.925616e-01	LMNB1
MSigDB_Hallmark_2020	G2-M Checkpoint	1/200	6.236514e-01	6.236514e-01	0	0	1.031407e+00	4.869929e-01	LMNB1
MSigDB_Hallmark_2020	Estrogen Response Early	1/200	6.236514e-01	6.236514e-01	0	0	1.031407e+00	4.869929e-01	FKBP4
MSigDB_Hallmark_2020	E2F Targets	1/200	6.236514e-01	6.236514e-01	0	0	1.031407e+00	4.869929e-01	LMNB1
MSigDB_Hallmark_2020	Myc Targets V1	1/200	6.236514e-01	6.236514e-01	0	0	1.031407e+00	4.869929e-01	HSPD1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1/200	6.236514e-01	6.236514e-01	0	0	1.031407e+00	4.869929e-01	HMOX1
