Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	phagocytosis, engulfment (GO:0006911)	8/37	3.309135e-06	4.215918e-03	0	0	1.073821e+01	1.355035e+02	CDC42;ITGAM;SH3BP1;BIN2;ITGB2;RAC2;MYH9;RAC1
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	30/481	6.415949e-06	4.215918e-03	0	0	2.649760e+00	3.168245e+01	ARHGAP9;VCP;ITGAM;ITGB2;SLC2A3;IQGAP1;ITGAL;CST3;STK10;CXCR2;TBC1D10C;COTL1;MLEC;QSOX1;RAC1;HMOX2;AP1M1;ACTR2;SERPINB1;NME2;NBEAL2;KCNAB2;MIF;NFKB1;IGF2R;APRT;FGR;BIN2;RAB37;PTPN6
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	30/485	7.544222e-06	4.215918e-03	0	0	2.625914e+00	3.097194e+01	ARHGAP9;VCP;ITGAM;ITGB2;SLC2A3;IQGAP1;ITGAL;CST3;STK10;CXCR2;TBC1D10C;COTL1;MLEC;QSOX1;RAC1;HMOX2;AP1M1;ACTR2;SERPINB1;NME2;NBEAL2;KCNAB2;MIF;NFKB1;IGF2R;APRT;FGR;BIN2;RAB37;PTPN6
GO_Biological_Process_2021	plasma membrane invagination (GO:0099024)	7/30	8.022410e-06	4.215918e-03	0	0	1.182704e+01	1.387699e+02	CDC42;SNX18;ITGAM;SH3BP1;BIN2;ITGB2;MYH9
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	30/488	8.506694e-06	4.215918e-03	0	0	2.608302e+00	3.045104e+01	ARHGAP9;VCP;ITGAM;ITGB2;SLC2A3;IQGAP1;ITGAL;CST3;STK10;CXCR2;TBC1D10C;COTL1;MLEC;QSOX1;RAC1;HMOX2;AP1M1;ACTR2;SERPINB1;NME2;NBEAL2;KCNAB2;MIF;NFKB1;IGF2R;APRT;FGR;BIN2;RAB37;PTPN6
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	10/71	1.177759e-05	4.733211e-03	0	0	6.396405e+00	7.259480e+01	CYFIP2;VAV3;FGR;CDC42;LYN;ACTR2;ARPC1B;CD3G;RAC1;MYO1G
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway (GO:0038094)	10/72	1.337065e-05	4.733211e-03	0	0	6.292914e+00	7.062190e+01	CYFIP2;VAV3;FGR;CDC42;LYN;ACTR2;ARPC1B;CD3G;RAC1;MYO1G
GO_Biological_Process_2021	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	10/74	1.711998e-05	5.302914e-03	0	0	6.095633e+00	6.690118e+01	CYFIP2;VAV3;FGR;CDC42;LYN;ACTR2;ARPC1B;CD3G;RAC1;MYO1G
GO_Biological_Process_2021	protein localization to membrane (GO:0072657)	16/195	4.047652e-05	1.114453e-02	0	0	3.508743e+00	3.549020e+01	PLEKHF1;PPIL2;TESC;DENND4C;ITGB2;AP3D1;F11R;ITGAL;TNFRSF1A;GAK;HGS;ABHD17A;INPP5K;FLNA;EZR;RAPGEF6
GO_Biological_Process_2021	regulation of respiratory burst (GO:0060263)	4/9	4.682884e-05	1.160419e-02	0	0	3.093175e+01	3.083589e+02	CAMK1D;RAC2;RAC1;JCHAIN
GO_Biological_Process_2021	leukocyte cell-cell adhesion (GO:0007159)	6/28	6.103215e-05	1.374888e-02	0	0	1.057769e+01	1.026471e+02	SEMA4D;ITGB2;F11R;ITGAL;EZR;FERMT3
GO_Biological_Process_2021	regulation of actin cytoskeleton organization (GO:0032956)	10/91	1.042670e-04	2.153114e-02	0	0	4.812088e+00	4.411989e+01	SH3BP1;ABI3;TESK1;RAC2;RAC1;IQGAP1;F11R;RHOC;PHPT1;EZR
GO_Biological_Process_2021	integrin-mediated signaling pathway (GO:0007229)	9/75	1.162598e-04	2.216091e-02	0	0	5.308617e+00	4.809439e+01	FGR;CDC42;DAB2;PTPRA;ITGB2;PLEK;NME2;MYH9;FERMT3
GO_Biological_Process_2021	positive regulation of RNA metabolic process (GO:0051254)	7/45	1.286701e-04	2.277460e-02	0	0	7.152957e+00	6.407804e+01	MAP2K2;U2AF2;DIMT1;ZC3H18;HRAS;WDR43;NFKB1
GO_Biological_Process_2021	regulation of miRNA metabolic process (GO:2000628)	3/5	1.568131e-04	2.438949e-02	0	0	5.789109e+01	5.071523e+02	RC3H1;HRAS;NFKB1
