Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Myc Targets V1	13/200	1.869485e-03	4.486765e-02	0	0	2.711230e+00	1.703220e+01	SF3B3;RPLP0;ODC1;GSPT1;SRM;AIMP2;PSMA6;CDK4;PCBP1;NHP2;VDAC1;TXNL4A;EIF3B
MSigDB_Hallmark_2020	Allograft Rejection	13/200	1.869485e-03	4.486765e-02	0	0	2.711230e+00	1.703220e+01	LYN;TPD52;ITGB2;CD3G;ITGAL;FGR;ZAP70;CCND3;CD8B;BCL3;FLNA;LCP2;PTPN6
MSigDB_Hallmark_2020	Myc Targets V2	6/58	3.451520e-03	5.522431e-02	0	0	4.468281e+00	2.533042e+01	AIMP2;CDK4;WDR74;IMP4;WDR43;SRM
MSigDB_Hallmark_2020	Inflammatory Response	11/200	1.353444e-02	1.624133e-01	0	0	2.260473e+00	9.725725e+00	LYN;PTPRE;IFITM1;CD82;SEMA4D;NMUR1;LCP2;EMP3;CHST2;NFKB1;LY6E
MSigDB_Hallmark_2020	DNA Repair	8/150	3.793118e-02	3.354144e-01	0	0	2.180282e+00	7.133842e+00	POLD4;ALYREF;USP11;TAF10;NME3;ERCC5;ITPA;APRT
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	6/105	5.130385e-02	3.354144e-01	0	0	2.341301e+00	6.953641e+00	VAV3;ACTR2;CDK4;RAC1;HRAS;TNFRSF1A
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	9/200	6.987799e-02	3.354144e-01	0	0	1.822588e+00	4.849914e+00	PTPRE;CEBPD;BCL3;PLEK;ZBTB10;SLC2A3;IER2;NFKB1;PNRC1
MSigDB_Hallmark_2020	G2-M Checkpoint	9/200	6.987799e-02	3.354144e-01	0	0	1.822588e+00	4.849914e+00	SFPQ;DDX39A;CDK4;ODC1;BCL3;HMGA1;CTCF;E2F4;GSPT1
MSigDB_Hallmark_2020	Apical Junction	9/200	6.987799e-02	3.354144e-01	0	0	1.822588e+00	4.849914e+00	VASP;CLDN15;RAC2;INPPL1;MYH9;ACTN4;HRAS;GNAI2;YWHAH
MSigDB_Hallmark_2020	heme Metabolism	9/200	6.987799e-02	3.354144e-01	0	0	1.822588e+00	4.849914e+00	RBM38;PSMD9;CCND3;GLRX5;HMBS;UCP2;TCEA1;BLVRB;NUDT4
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	3/42	9.041560e-02	3.900119e-01	0	0	2.963138e+00	7.121423e+00	NCOR2;LEF1;AXIN1
MSigDB_Hallmark_2020	Fatty Acid Metabolism	7/158	1.085286e-01	3.900119e-01	0	0	1.789626e+00	3.974297e+00	CBR1;ODC1;MLYCD;MIF;ACSS1;YWHAH;ALDH9A1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	4/74	1.190139e-01	3.900119e-01	0	0	2.202041e+00	4.687077e+00	PCYT2;CHKA;HMGCR;PNRC1
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	3/49	1.279132e-01	3.900119e-01	0	0	2.511322e+00	5.164290e+00	PDLIM1;CDKN2D;HMOX2
MSigDB_Hallmark_2020	Mitotic Spindle	8/199	1.353992e-01	3.900119e-01	0	0	1.616838e+00	3.232912e+00	CDC42;PREX1;FLNA;MYH9;ACTN4;ARHGAP27;EZR;RAPGEF6
MSigDB_Hallmark_2020	Hypoxia	8/200	1.381292e-01	3.900119e-01	0	0	1.608333e+00	3.183802e+00	TPD52;SLC25A1;SIAH2;MYH9;SLC2A3;MIF;CHST2;PNRC1
MSigDB_Hallmark_2020	Interferon Gamma Response	8/200	1.381292e-01	3.900119e-01	0	0	1.608333e+00	3.183802e+00	IFITM2;LCP2;PTPN6;SAMHD1;RAPGEF6;PARP12;NFKB1;LY6E
MSigDB_Hallmark_2020	TGF-beta Signaling	3/54	1.575099e-01	4.200264e-01	0	0	2.264531e+00	4.185458e+00	NCOR2;CDK9;FNTA
MSigDB_Hallmark_2020	Hedgehog Signaling	2/36	2.323247e-01	4.434572e-01	0	0	2.262032e+00	3.301706e+00	ADGRG1;MYH9
MSigDB_Hallmark_2020	Interferon Alpha Response	4/97	2.329340e-01	4.434572e-01	0	0	1.655487e+00	2.412045e+00	IFITM1;IFITM2;PARP12;LY6E
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	7/199	2.432989e-01	4.434572e-01	0	0	1.404483e+00	1.985187e+00	CCND3;AHNAK;GLIPR2;ODC1;SLC2A3;IGF2R;BCL2L1
MSigDB_Hallmark_2020	Complement	7/200	2.471133e-01	4.434572e-01	0	0	1.397133e+00	1.953064e+00	LYN;ITGAM;PLEK;PREP;LCP2;GNAI2;C1QC
MSigDB_Hallmark_2020	mTORC1 Signaling	7/200	2.471133e-01	4.434572e-01	0	0	1.397133e+00	1.953064e+00	ACTR2;DDX39A;HMBS;ITGB2;TCEA1;SLC2A3;HMGCR
MSigDB_Hallmark_2020	E2F Targets	7/200	2.471133e-01	4.434572e-01	0	0	1.397133e+00	1.953064e+00	DDX39A;PRKDC;CDK4;HMGA1;CTCF;GSPT1;SNRPB
MSigDB_Hallmark_2020	Xenobiotic Metabolism	7/200	2.471133e-01	4.434572e-01	0	0	1.397133e+00	1.953064e+00	CYFIP2;HES6;CBR1;SERTAD1;BLVRB;TNFRSF1A;ALDH9A1
MSigDB_Hallmark_2020	p53 Pathway	7/200	2.471133e-01	4.434572e-01	0	0	1.397133e+00	1.953064e+00	CYFIP2;PTPRE;CCND3;CD82;ERCC5;HRAS;DEF6
MSigDB_Hallmark_2020	Androgen Response	4/100	2.494447e-01	4.434572e-01	0	0	1.603505e+00	2.226496e+00	TPD52;CCND3;ZBTB10;HMGCR
MSigDB_Hallmark_2020	Pperoxisome	4/104	2.718248e-01	4.534658e-01	0	0	1.539048e+00	2.004759e+00	MLYCD;HRAS;YWHAH;ALDH9A1
MSigDB_Hallmark_2020	Coagulation	5/138	2.739689e-01	4.534658e-01	0	0	1.446883e+00	1.873338e+00	WDR1;USP11;PLEK;PREP;RAC1
MSigDB_Hallmark_2020	UV Response Up	5/158	3.737528e-01	5.980045e-01	0	0	1.256448e+00	1.236547e+00	LYN;CCND3;CHKA;SIGMAR1;CLTB
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	6/200	3.982921e-01	6.167103e-01	0	0	1.188935e+00	1.094498e+00	DAB2;TPM1;FLNA;QSOX1;EMP3;SNTB1
MSigDB_Hallmark_2020	Protein Secretion	3/96	4.420115e-01	6.630173e-01	0	0	1.239157e+00	1.011672e+00	TPD52;RAB22A;IGF2R
MSigDB_Hallmark_2020	Bile Acid Metabolism	3/112	5.442627e-01	7.285346e-01	0	0	1.056390e+00	6.426267e-01	MLYCD;PEX26;ALDH9A1
MSigDB_Hallmark_2020	Notch Signaling	1/32	5.613029e-01	7.285346e-01	0	0	1.238213e+00	7.150615e-01	PSENEN
