Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	24/103	7.474453e-35	6.009460e-32	0	0	8.604846e+01	6.761601e+03	RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;SEC61G;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPS20;RPL38;RPL15;RPS2;SEC62;RPS11
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	23/94	5.972610e-34	2.400989e-31	0	0	9.049891e+01	6.923231e+03	RPS9;RPL21;RPL31;RPL34;RPL23;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;RPL27A;RPL37A;RPL35;RPLP2;RPL24;RPL38;RPS20;RPL15;RPS2;SEC62;RPS11
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	22/90	1.799776e-32	4.823399e-30	0	0	8.914134e+01	6.515792e+03	RPS9;RPL21;RPL31;RPL34;RPL23;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;RPL27A;RPL37A;RPL35;RPLP2;RPL24;RPL38;RPS20;RPL15;RPS2;RPS11
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	23/113	6.575808e-32	1.321737e-29	0	0	7.132520e+01	5.121101e+03	RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPS20;EIF3E;RPL38;RPL15;RPS2;RPS11
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	21/93	3.361503e-30	5.405297e-28	0	0	7.924543e+01	5.378004e+03	RPS9;RPL21;RPL31;RPL34;RPL23;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;RPL27A;RPL37A;RPL35;RPL24;RPL38;RPS20;RPL15;RPS2;RPS11
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	24/171	3.857230e-29	5.168689e-27	0	0	4.608513e+01	3.015121e+03	RPS9;CNOT6L;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPS20;EIF3E;RPL38;RPL15;RPS2;RPS11
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	22/162	2.139764e-26	2.457672e-24	0	0	4.314008e+01	2.549860e+03	RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPS20;RPL38;RPL15;RPS2;RPS11
GO_Biological_Process_2021	translation (GO:0006412)	22/214	1.188702e-23	1.194645e-21	0	0	3.137355e+01	1.656103e+03	RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPS20;RPL38;RPL15;RPS2;RPS11
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	20/192	1.174386e-21	1.049118e-19	0	0	3.100880e+01	1.494424e+03	NOM1;RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPL38;RPL15;RPS2
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	19/162	1.323471e-21	1.064070e-19	0	0	3.501138e+01	1.683138e+03	RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPL38;RPL15;RPS2
GO_Biological_Process_2021	rRNA processing (GO:0006364)	19/173	4.766055e-21	3.483553e-19	0	0	3.249247e+01	1.520412e+03	RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPL38;RPL15;RPS2
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	22/314	5.564127e-20	3.727965e-18	0	0	2.052454e+01	9.099631e+02	RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPS20;RPL38;RPL15;RPS2;RPS11
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	19/201	8.638313e-20	5.194505e-18	0	0	2.745465e+01	1.205136e+03	RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPL38;RPL15;RPS2
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	24/417	9.045157e-20	5.194505e-18	0	0	1.702334e+01	7.464643e+02	RPS9;PARP4;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;LGALS1;RPL18A;RPS29;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPS20;RPL38;RPL15;RPS2;RPS11
GO_Biological_Process_2021	gene expression (GO:0010467)	22/356	8.326842e-19	4.463188e-17	0	0	1.790519e+01	7.453865e+02	RPS9;RPL21;RPL31;RPL23;RPL34;RPL13A;RPL23A;RPL9;RPL7;RPS15;RPL18A;RPS29;RPL27A;RPL37A;RPL24;RPLP2;RPL35;RPS20;RPL38;RPL15;RPS2;RPS11
GO_Biological_Process_2021	defense response to protozoan (GO:0042832)	3/14	3.524811e-05	1.771218e-03	0	0	5.962537e+01	6.113448e+02	GBP2;LYST;GBP4
GO_Biological_Process_2021	pyroptosis (GO:0070269)	3/19	9.224790e-05	4.362783e-03	0	0	4.098214e+01	3.807664e+02	GZMA;CASP4;GZMB
GO_Biological_Process_2021	positive regulation of signal transduction by p53 class mediator (GO:1901798)	3/22	1.451159e-04	6.481845e-03	0	0	3.450607e+01	3.049639e+02	RPS15;RPL23;RPS20
GO_Biological_Process_2021	ribonucleoprotein complex biogenesis (GO:0022613)	4/60	1.824187e-04	7.719191e-03	0	0	1.575397e+01	1.356292e+02	RPS15;NOM1;RPL38;RPL7
GO_Biological_Process_2021	posttranslational protein targeting to membrane, translocation (GO:0031204)	2/7	4.519745e-04	1.816937e-02	0	0	8.652609e+01	6.664140e+02	SEC61G;SEC62
GO_Biological_Process_2021	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	6/224	6.618569e-04	2.533966e-02	0	0	6.157631e+00	4.507670e+01	LGALS1;ZFAND6;TIFA;F2R;RORA;CARD16
GO_Biological_Process_2021	apoptotic process (GO:0006915)	6/231	7.770768e-04	2.758666e-02	0	0	5.963939e+00	4.270164e+01	TNFSF14;GZMA;CASP4;PRF1;GZMB;GZMH
GO_Biological_Process_2021	negative regulation of binding (GO:0051100)	4/88	7.891705e-04	2.758666e-02	0	0	1.048783e+01	7.493060e+01	IFI16;GZMA;RACK1;CARD16
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	5/156	8.504047e-04	2.761211e-02	0	0	7.349877e+00	5.196215e+01	RPS15;RPL23;PIP4K2A;RPS20;PPP2R5C
GO_Biological_Process_2021	negative regulation of translation (GO:0017148)	4/90	8.585856e-04	2.761211e-02	0	0	1.024289e+01	7.231713e+01	RACK1;RPL13A;GZMB;EIF3E
GO_Biological_Process_2021	secretory granule organization (GO:0033363)	2/10	9.596562e-04	2.967552e-02	0	0	5.407065e+01	3.757335e+02	F2R;LYST
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	9/546	1.071140e-03	3.189618e-02	0	0	3.819060e+00	2.611867e+01	RPS15;LGALS1;TNFSF14;RPL23;TIFA;F2R;RACK1;RPS20;CARD16
GO_Biological_Process_2021	posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	2/12	1.398904e-03	4.016854e-02	0	0	4.325217e+01	2.842561e+02	SEC61G;SEC62
GO_Biological_Process_2021	ribosome assembly (GO:0042255)	3/50	1.679360e-03	4.655880e-02	0	0	1.392962e+01	8.900114e+01	RPS15;RPL24;RPL23A
