Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Allograft Rejection	8/200	4.637313e-06	1.252074e-04	0	0	9.551357e+00	1.173038e+02	RPS9;GZMA;F2R;PRF1;GZMB;GBP2;CD3D;RPL9
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	7/199	4.280340e-05	5.778460e-04	0	0	8.261375e+00	8.310028e+01	MAPKAPK2;CD48;PLIN2;RORA;TNFRSF1B;GBP4;CDC42SE2
MSigDB_Hallmark_2020	Interferon Gamma Response	6/200	3.638745e-04	3.274870e-03	0	0	6.927835e+00	5.485946e+01	ISG20;MT2A;APOL6;GZMA;CASP4;GBP4
MSigDB_Hallmark_2020	Apoptosis	4/161	7.039133e-03	4.751415e-02	0	0	5.590658e+00	2.770881e+01	ISG20;CASP4;F2R;PRF1
MSigDB_Hallmark_2020	Interferon Alpha Response	3/97	1.078156e-02	4.966243e-02	0	0	6.948328e+00	3.147535e+01	ISG20;GBP2;GBP4
MSigDB_Hallmark_2020	Hypoxia	4/200	1.471479e-02	4.966243e-02	0	0	4.469388e+00	1.885591e+01	ISG20;MT2A;PLIN2;RORA
MSigDB_Hallmark_2020	Complement	4/200	1.471479e-02	4.966243e-02	0	0	4.469388e+00	1.885591e+01	FCER1G;GZMA;CASP4;GZMB
MSigDB_Hallmark_2020	Myc Targets V1	4/200	1.471479e-02	4.966243e-02	0	0	4.469388e+00	1.885591e+01	LSM7;RPL34;RACK1;RPS2
MSigDB_Hallmark_2020	Oxidative Phosphorylation	3/200	6.824670e-02	1.842661e-01	0	0	3.298209e+00	8.854459e+00	NDUFB4;NDUFS4;COX7C
MSigDB_Hallmark_2020	KRAS Signaling Up	3/200	6.824670e-02	1.842661e-01	0	0	3.298209e+00	8.854459e+00	FCER1G;ID2;TNFRSF1B
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	1/49	2.063562e-01	3.630082e-01	0	0	4.448477e+00	7.020371e+00	NDUFB4
MSigDB_Hallmark_2020	TGF-beta Signaling	1/54	2.248791e-01	3.630082e-01	0	0	4.027795e+00	6.010245e+00	ID2
MSigDB_Hallmark_2020	G2-M Checkpoint	2/200	2.420055e-01	3.630082e-01	0	0	2.163812e+00	3.070006e+00	MT2A;SMC4
MSigDB_Hallmark_2020	Estrogen Response Late	2/200	2.420055e-01	3.630082e-01	0	0	2.163812e+00	3.070006e+00	ISG20;ID2
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2/200	2.420055e-01	3.630082e-01	0	0	2.163812e+00	3.070006e+00	LGALS1;ID2
MSigDB_Hallmark_2020	Inflammatory Response	2/200	2.420055e-01	3.630082e-01	0	0	2.163812e+00	3.070006e+00	CD48;TNFRSF1B
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2/200	2.420055e-01	3.630082e-01	0	0	2.163812e+00	3.070006e+00	MT2A;ID2
MSigDB_Hallmark_2020	p53 Pathway	2/200	2.420055e-01	3.630082e-01	0	0	2.163812e+00	3.070006e+00	F2R;RACK1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1/87	3.368466e-01	4.786768e-01	0	0	2.478120e+00	2.696510e+00	TNFRSF1B
MSigDB_Hallmark_2020	Protein Secretion	1/96	3.644998e-01	4.839698e-01	0	0	2.242332e+00	2.263027e+00	CD63
MSigDB_Hallmark_2020	Androgen Response	1/100	3.764209e-01	4.839698e-01	0	0	2.151298e+00	2.101920e+00	DBI
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1/158	5.263530e-01	6.120753e-01	0	0	1.352579e+00	8.680621e-01	LGALS1
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	6.102249e-01	6.120753e-01	0	0	1.070273e+00	5.286372e-01	SMC4
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1/200	6.120753e-01	6.120753e-01	0	0	1.064840e+00	5.227301e-01	ID2
MSigDB_Hallmark_2020	Adipogenesis	1/200	6.120753e-01	6.120753e-01	0	0	1.064840e+00	5.227301e-01	PLIN2
MSigDB_Hallmark_2020	E2F Targets	1/200	6.120753e-01	6.120753e-01	0	0	1.064840e+00	5.227301e-01	SMC4
MSigDB_Hallmark_2020	Glycolysis	1/200	6.120753e-01	6.120753e-01	0	0	1.064840e+00	5.227301e-01	ISG20
