Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mRNA processing (GO:0006397)	11/300	1.006589e-05	6.705141e-03	0	0	5.685808e+00	6.542294e+01	HNRNPL;TCERG1;HSPA8;RBM4;SFPQ;PCBP1;CWF19L1;HNRNPA2B1;EIF4A3;BCAS2;HNRNPA0
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	10/251	1.262738e-05	6.705141e-03	0	0	6.166541e+00	6.955638e+01	HNRNPL;HSPA8;RBM4;SFPQ;PCBP1;CWF19L1;HNRNPA2B1;EIF4A3;BCAS2;HNRNPA0
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	10/274	2.684209e-05	9.502100e-03	0	0	5.622704e+00	5.918200e+01	HNRNPL;HSPA8;RBM4;SFPQ;PCBP1;CWF19L1;HNRNPA2B1;EIF4A3;BCAS2;HNRNPA0
GO_Biological_Process_2021	RNA processing (GO:0006396)	8/179	4.259984e-05	1.131026e-02	0	0	6.873353e+00	6.917108e+01	HNRNPL;TCERG1;RBM4;SFPQ;PABPC4;HNRNPA2B1;BCAS2;HNRNPA0
GO_Biological_Process_2021	positive regulation of neutrophil chemotaxis (GO:0090023)	3/19	3.123814e-04	6.020197e-02	0	0	2.676529e+01	2.160303e+02	CAMK1D;CCR7;RAC1
GO_Biological_Process_2021	RNA metabolic process (GO:0016070)	6/133	3.773215e-04	6.020197e-02	0	0	6.854215e+00	5.402775e+01	HNRNPL;RBM4;PCBP1;PABPC4;HNRNPA2B1;HNRNPA0
GO_Biological_Process_2021	positive regulation of granulocyte chemotaxis (GO:0071624)	3/22	4.887760e-04	6.020197e-02	0	0	2.253578e+01	1.718039e+02	CAMK1D;CCR7;RAC1
GO_Biological_Process_2021	positive regulation of neutrophil migration (GO:1902624)	3/22	4.887760e-04	6.020197e-02	0	0	2.253578e+01	1.718039e+02	CAMK1D;CCR7;RAC1
GO_Biological_Process_2021	mRNA metabolic process (GO:0016071)	5/95	5.834850e-04	6.020197e-02	0	0	8.016221e+00	5.969272e+01	TCERG1;SFPQ;HNRNPA2B1;ZFP36L2;HNRNPA0
GO_Biological_Process_2021	regulation of gene expression (GO:0010468)	18/1079	6.429492e-04	6.020197e-02	0	0	2.571722e+00	1.890073e+01	SETDB1;CITED2;TESC;LEF1;CHD3;CTCF;AFF3;CRIP1;NFKB1;HNRNPL;SFPQ;SERTAD3;TBX21;PCBP1;MATR3;UBE2V1;SLC38A2;RNF187
