Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	8/200	9.290378e-05	3.437440e-03	0	0	6.115050e+00	5.677179e+01	TUBB2A;CEBPD;DUSP1;SLC2A3;FOS;PNRC1;NFKB1;IER2
MSigDB_Hallmark_2020	Hypoxia	6/200	3.082834e-03	3.802162e-02	0	0	4.471801e+00	2.585553e+01	DUSP1;CITED2;SIAH2;SLC2A3;FOS;PNRC1
MSigDB_Hallmark_2020	G2-M Checkpoint	6/200	3.082834e-03	3.802162e-02	0	0	4.471801e+00	2.585553e+01	HSPA8;SFPQ;UBE2S;ODF2;ODC1;CTCF
MSigDB_Hallmark_2020	Myc Targets V1	5/200	1.416381e-02	1.310152e-01	0	0	3.680142e+00	1.566661e+01	PCBP1;PABPC4;ODC1;HNRNPA2B1;SRM
MSigDB_Hallmark_2020	TGF-beta Signaling	2/54	5.635997e-02	4.170637e-01	0	0	5.441209e+00	1.564890e+01	BCAR3;FNTA
MSigDB_Hallmark_2020	UV Response Dn	3/144	8.314145e-02	4.842026e-01	0	0	3.018062e+00	7.506560e+00	DUSP1;CITED2;NFKB1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	2/74	9.719537e-02	4.842026e-01	0	0	3.925794e+00	9.151152e+00	CHKA;PNRC1
MSigDB_Hallmark_2020	Androgen Response	2/100	1.586628e-01	4.842026e-01	0	0	2.880466e+00	5.302864e+00	MERTK;SLC38A2
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	3/199	1.683900e-01	4.842026e-01	0	0	2.165101e+00	3.857067e+00	ODC1;SPP1;SLC2A3
MSigDB_Hallmark_2020	Inflammatory Response	3/200	1.701252e-01	4.842026e-01	0	0	2.154001e+00	3.815210e+00	LTA;CCR7;NFKB1
MSigDB_Hallmark_2020	Glycolysis	3/200	1.701252e-01	4.842026e-01	0	0	2.154001e+00	3.815210e+00	CITED2;ECD;MERTK
MSigDB_Hallmark_2020	p53 Pathway	3/200	1.701252e-01	4.842026e-01	0	0	2.154001e+00	3.815210e+00	SERTAD3;ERCC5;FOS
MSigDB_Hallmark_2020	KRAS Signaling Up	3/200	1.701252e-01	4.842026e-01	0	0	2.154001e+00	3.815210e+00	RBM4;SPP1;HDAC9
MSigDB_Hallmark_2020	Unfolded Protein Response	2/113	1.915679e-01	5.062866e-01	0	0	2.541441e+00	4.199765e+00	TUBB2A;EIF4A3
MSigDB_Hallmark_2020	Angiogenesis	1/36	2.264281e-01	5.585226e-01	0	0	4.016819e+00	5.966293e+00	SPP1
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	1/42	2.588641e-01	5.986232e-01	0	0	3.427954e+00	4.632715e+00	LEF1
MSigDB_Hallmark_2020	UV Response Up	2/158	3.092667e-01	6.731099e-01	0	0	1.804212e+00	2.117336e+00	CHKA;FOS
MSigDB_Hallmark_2020	Myc Targets V2	1/58	3.389066e-01	6.966414e-01	0	0	2.463730e+00	2.665832e+00	SRM
MSigDB_Hallmark_2020	Estrogen Response Early	2/200	4.162790e-01	7.001057e-01	0	0	1.418470e+00	1.243147e+00	SIAH2;FOS
MSigDB_Hallmark_2020	Estrogen Response Late	2/200	4.162790e-01	7.001057e-01	0	0	1.418470e+00	1.243147e+00	SIAH2;FOS
MSigDB_Hallmark_2020	Interferon Gamma Response	2/200	4.162790e-01	7.001057e-01	0	0	1.418470e+00	1.243147e+00	BANK1;NFKB1
MSigDB_Hallmark_2020	E2F Targets	2/200	4.162790e-01	7.001057e-01	0	0	1.418470e+00	1.243147e+00	UBE2S;CTCF
MSigDB_Hallmark_2020	Protein Secretion	1/96	4.962451e-01	7.612226e-01	0	0	1.475401e+00	1.033792e+00	ATP1A1
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	1/105	5.276885e-01	7.612226e-01	0	0	1.347109e+00	8.611379e-01	RAC1
MSigDB_Hallmark_2020	Bile Acid Metabolism	1/112	5.507903e-01	7.612226e-01	0	0	1.261709e+00	7.524843e-01	BCAR3
MSigDB_Hallmark_2020	Coagulation	1/138	6.271906e-01	7.612226e-01	0	0	1.020914e+00	4.762613e-01	RAC1
MSigDB_Hallmark_2020	DNA Repair	1/150	6.579546e-01	7.612226e-01	0	0	9.381218e-01	3.927159e-01	ERCC5
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1/158	6.770496e-01	7.612226e-01	0	0	8.899580e-01	3.470931e-01	ODC1
MSigDB_Hallmark_2020	Apoptosis	1/161	6.839341e-01	7.612226e-01	0	0	8.731383e-01	3.316998e-01	LEF1
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	7.594979e-01	7.612226e-01	0	0	7.042052e-01	1.937253e-01	FSCN1
