Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	54/485	1.013474e-15	3.183322e-12	0	0	4.075801e+00	1.407186e+02	FCN1;CDA;MS4A3;SLC44A2;HP;PYGL;MPO;CTSS;STK10;LAMP2;TBC1D10C;CTSG;CTSD;CAMP;ANXA2;CD93;HLA-B;COMMD3;RNASE3;RNASE2;UNC13D;OSCAR;BIN2;RAB37;S100A9;S100A8;KPNB1;CD44;CFD;CD63;CLEC12A;STXBP2;FPR1;MGST1;RETN;CFP;LILRA2;RAP1B;PSMB7;CREG1;S100A12;MLEC;NCKAP1L;CD14;HUWE1;RAB27A;AZU1;LYZ;EEF2;BST1;DIAPH1;TSPAN14;SELL;MNDA
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	53/481	2.931066e-15	4.603240e-12	0	0	4.022090e+00	1.345928e+02	FCN1;CDA;MS4A3;SLC44A2;HP;PYGL;MPO;CTSS;STK10;LAMP2;TBC1D10C;CTSG;CTSD;CAMP;ANXA2;CD93;HLA-B;COMMD3;RNASE3;RNASE2;UNC13D;OSCAR;BIN2;RAB37;S100A9;S100A8;KPNB1;CD44;CFD;CD63;CLEC12A;STXBP2;FPR1;MGST1;RETN;CFP;RAP1B;PSMB7;CREG1;S100A12;MLEC;NCKAP1L;CD14;HUWE1;RAB27A;AZU1;LYZ;EEF2;BST1;DIAPH1;TSPAN14;SELL;MNDA
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	53/488	5.357439e-15	5.609239e-12	0	0	3.955904e+00	1.299921e+02	FCN1;CDA;MS4A3;SLC44A2;HP;PYGL;MPO;CTSS;STK10;LAMP2;TBC1D10C;CTSG;CTSD;CAMP;ANXA2;CD93;HLA-B;COMMD3;RNASE3;RNASE2;UNC13D;OSCAR;BIN2;RAB37;S100A9;S100A8;KPNB1;CD44;CFD;CD63;CLEC12A;STXBP2;FPR1;MGST1;RETN;CFP;RAP1B;PSMB7;CREG1;S100A12;MLEC;NCKAP1L;CD14;HUWE1;RAB27A;AZU1;LYZ;EEF2;BST1;DIAPH1;TSPAN14;SELL;MNDA
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	29/179	4.983358e-13	3.913182e-10	0	0	6.119780e+00	1.733581e+02	KLRB1;ICAM3;ICAM4;CD3G;TREM2;CD3E;CD3D;FCGR3A;KLRC1;MICB;CD96;CD160;SH2D1A;HLA-B;SH2D1B;PILRB;HLA-A;OSCAR;HLA-E;NCR1;NCR3;SELL;CD8A;KLRF1;CD300E;KLRD1;CD247;CLEC2D;BIRC2
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	49/621	5.168848e-09	2.863532e-06	0	0	2.742426e+00	5.232718e+01	CSF3R;CSF2;SLA;RORA;FASLG;CXCL3;MYC;TNFSF11;CTSG;ANXA2;HLA-B;HLA-A;HLA-E;IL17RA;PSMA4;IFNG;LCK;CANX;XCL2;XCL1;RHOU;TP53;BIRC2;CD44;CTR9;EBI3;FPR1;IL2RG;RAP1B;PSMB7;PSMB3;CCL5;STAT4;ABL2;STAT6;FYN;RPS27A;CCL18;GBP2;IL12RB2;CCL24;TNFSF14;CCL20;LILRB4;BATF;CXCL10;CXCL12;IL2RB;PLP2
GO_Biological_Process_2021	inflammatory response (GO:0006954)	27/230	5.469975e-09	2.863532e-06	0	0	4.184741e+00	7.961048e+01	C5AR2;FPR1;HP;LOXL3;CXCL3;THBS1;HRH1;FUT7;CCL5;CD14;CCL18;PTGDR;CCL24;CD96;PTGIR;CCL20;AZU1;LYZ;PJA2;CXCL10;NCR3;IFNG;XCL2;XCL1;S100A9;CD44;S100A8
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	41/482	1.186243e-08	5.322841e-06	0	0	2.956775e+00	5.396082e+01	RIPOR2;CSF3R;CSF2;EBI3;TCF7;FPR1;SLA;RORA;FASLG;MT1X;IL2RG;MYC;CCL5;GPER1;STAT4;ABL2;TNFSF11;STAT6;FYN;CTSG;RPS27A;CCL18;GBP2;IL12RB2;CCL24;CCL20;PYHIN1;BATF;CXCL10;NLRP12;CXCL12;LCK;IL2RB;XCL2;XCL1;MNDA;RHOU;PLP2;ARHGEF2;PTPN4;TP53
GO_Biological_Process_2021	neutrophil chemotaxis (GO:0030593)	12/70	1.899298e-06	6.750499e-04	0	0	6.401194e+00	8.432949e+01	CCL24;CXCL10;CCL20;CCL5;XCL2;XCL1;S100A12;NCKAP1L;CXCL3;CCL18;S100A9;S100A8
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	20/185	1.934240e-06	6.750499e-04	0	0	3.777843e+00	4.970054e+01	PRKCB;TXK;PDE4D;CD3G;HLA-A;BTN3A2;CD3E;CD3D;PRAM1;ZAP70;PSMB7;PSMA4;LCK;PSMB3;BTK;NCKAP1L;FYN;MNDA;CD247;SKAP1
GO_Biological_Process_2021	granulocyte chemotaxis (GO:0071621)	12/73	3.009023e-06	8.999198e-04	0	0	6.085435e+00	7.736958e+01	CCL24;CXCL10;CCL20;CCL5;XCL2;XCL1;S100A12;NCKAP1L;CXCL3;CCL18;S100A9;S100A8
