Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Allograft Rejection	35/200	1.583060e-16	7.598688e-15	0	0	6.776232e+00	2.465329e+02	GCNT1;PRF1;CD3G;CAPG;FASLG;CFP;CD3E;IL2RG;CD3D;ETS1;CTSS;C2;CCND3;CCL5;STAT4;FLNA;GBP2;CD96;PRKCB;GZMA;TAP2;GZMB;HLA-A;HLA-E;NCR1;CD2;ZAP70;IFNG;CD8A;LCK;CD7;IL2RB;KLRD1;CD247;EIF3A
MSigDB_Hallmark_2020	Inflammatory Response	23/200	1.083264e-07	2.599834e-06	0	0	4.067253e+00	6.523108e+01	ABCA1;CCL24;GABBR1;PTGIR;CSF3R;CCL20;EBI3;FPR1;ICAM4;CXCR6;RASGRP1;MARCO;CXCL10;MMP14;HRH1;SELL;LCK;MYC;CCL5;IL2RB;TNFSF10;CD48;CD14
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	22/199	4.071594e-07	5.329129e-06	0	0	3.884080e+00	5.715058e+01	CDKN1C;EOMES;PRKCH;CSF2;S100A1;HUWE1;CAPG;RORA;CST7;HOPX;HIPK2;BATF;CXCL10;CCND3;SELL;MYC;IL2RB;TNFSF10;TNFSF11;CD48;SMPDL3A;CD44
MSigDB_Hallmark_2020	Complement	22/200	4.440941e-07	5.329129e-06	0	0	3.862058e+00	5.649120e+01	FCN1;CDA;LRP1;GZMA;GZMB;PLA2G7;RASGRP1;CTSS;C2;GZMK;MMP14;CTSL;LCK;SPOCK2;CCL5;LAMP2;APOC1;GNB4;S100A12;FYN;CTSD;S100A9
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	9/87	1.773389e-03	1.519344e-02	0	0	3.549135e+00	2.248328e+01	CXCL10;CSF3R;CSF2;EBI3;CD14;CXCL3;IL2RG;CD44;IL17RA
MSigDB_Hallmark_2020	Interferon Gamma Response	15/200	1.899180e-03	1.519344e-02	0	0	2.504113e+00	1.569161e+01	GZMA;HLA-B;FPR1;TNFAIP2;NLRC5;ARID5B;HLA-A;CXCL10;APOL6;CCL5;IL2RB;TNFSF10;STAT4;XCL1;METTL7B
MSigDB_Hallmark_2020	Coagulation	11/138	4.641537e-03	3.182768e-02	0	0	2.665915e+00	1.432319e+01	CFD;MMP14;ACOX2;LRP1;S100A1;LAMP2;APOC1;APOC3;FYN;THBS1;C2
MSigDB_Hallmark_2020	Myc Targets V1	13/200	1.185964e-02	6.325141e-02	0	0	2.139904e+00	9.489651e+00	YWHAE;NOP56;HDDC2;FBL;PSMA4;PSMB3;MYC;CANX;SRSF2;SRSF3;HNRNPC;TARDBP;KPNB1
MSigDB_Hallmark_2020	KRAS Signaling Up	13/200	1.185964e-02	6.325141e-02	0	0	2.139904e+00	9.489651e+00	CSF2;PTCD2;GYPC;SATB1;CCL20;IGF2;GLRX;RETN;IL2RG;ETS1;CTSS;AKAP12;CXCL10
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	5/49	1.929110e-02	8.536431e-02	0	0	3.479326e+00	1.373676e+01	TXNRD2;MGST1;GLRX;TXN;MPO
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	12/200	2.662151e-02	8.536431e-02	0	0	1.961538e+00	7.112608e+00	ABCA1;CXCL10;CSF2;TSC22D1;CCL20;MYC;CCL5;TNFAIP2;CXCL3;SLC2A6;CD44;BIRC2
MSigDB_Hallmark_2020	Hypoxia	12/200	2.662151e-02	8.536431e-02	0	0	1.961538e+00	7.112608e+00	CDKN1C;AKAP12;TKTL1;ANXA2;PHKG1;SDC3;MYH9;RORA;S100A4;GLRX;ETS1;MT1E
MSigDB_Hallmark_2020	Estrogen Response Early	12/200	2.662151e-02	8.536431e-02	0	0	1.961538e+00	7.112608e+00	OLFM1;CLIC3;CXCL12;OLFML3;MYC;KRT8;BLVRB;ADD3;RASGRP1;MYBL1;CD44;MICB
MSigDB_Hallmark_2020	Estrogen Response Late	12/200	2.662151e-02	8.536431e-02	0	0	1.961538e+00	7.112608e+00	ALDH3A2;OLFM1;CLIC3;CXCL12;ACOX2;GPER1;BLVRB;ADD3;S100A9;CD44;MICB;BATF
MSigDB_Hallmark_2020	Hedgehog Signaling	4/36	2.667635e-02	8.536431e-02	0	0	3.823576e+00	1.385655e+01	ADGRG1;RTN1;CDK6;MYH9
MSigDB_Hallmark_2020	Apoptosis	10/161	3.331623e-02	9.994870e-02	0	0	2.032562e+00	6.914189e+00	TGFBR3;CD2;SATB1;PRF1;TNFSF10;TSPO;FASLG;CD14;CD44;ADD1
MSigDB_Hallmark_2020	UV Response Dn	9/144	4.075238e-02	1.150655e-01	0	0	2.044551e+00	6.543055e+00	TGFBR3;RXRA;ANXA2;MYC;GCNT1;FYN;ADD3;MT1E;SYNE1
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	4/42	4.373811e-02	1.166350e-01	0	0	3.218854e+00	1.007352e+01	MYC;TCF7;CSNK1E;TP53
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	11/200	5.537828e-02	1.329079e-01	0	0	1.785608e+00	5.166779e+00	TGFBR3;MMP14;VCAN;LGALS1;CXCL12;LRP1;FLNA;CAPG;THBS1;CD44;SNTB1
MSigDB_Hallmark_2020	p53 Pathway	11/200	5.537828e-02	1.329079e-01	0	0	1.785608e+00	5.166779e+00	LDHB;CSRNP2;CCND3;RXRA;TSC22D1;ZBTB16;ABCC5;NOL8;S100A4;TP53;CTSD
MSigDB_Hallmark_2020	UV Response Up	9/158	6.574743e-02	1.502798e-01	0	0	1.851097e+00	5.038564e+00	SULT1A1;CDKN1C;OLFM1;CCND3;MMP14;EIF2S3;CREG1;RAB27A;RASGRP1
MSigDB_Hallmark_2020	Protein Secretion	6/96	8.554756e-02	1.866492e-01	0	0	2.039577e+00	5.014672e+00	ABCA1;CD63;GOSR2;LAMP2;TMED2;ARCN1
MSigDB_Hallmark_2020	Androgen Response	6/100	9.928977e-02	2.072134e-01	0	0	1.952381e+00	4.509439e+00	AKAP12;CCND3;CDK6;TSC22D1;KRT8;ARID5B
MSigDB_Hallmark_2020	Pperoxisome	6/104	1.141245e-01	2.282489e-01	0	0	1.872303e+00	4.063770e+00	GNPAT;FDPS;ABCC5;ECH1;ALB;TSPO
MSigDB_Hallmark_2020	Apical Surface	3/44	1.637468e-01	3.143939e-01	0	0	2.233615e+00	4.041578e+00	CD160;IL2RB;IL2RG
MSigDB_Hallmark_2020	Adipogenesis	9/200	1.880243e-01	3.223274e-01	0	0	1.440893e+00	2.407997e+00	SULT1A1;ABCA1;NDUFB7;ALDH2;ECH1;ELOVL6;DLAT;RETN;TKT
MSigDB_Hallmark_2020	Oxidative Phosphorylation	9/200	1.880243e-01	3.223274e-01	0	0	1.440893e+00	2.407997e+00	LDHB;ATP5F1A;ATP5F1B;NDUFB7;ECH1;NDUFB3;DLAT;FXN;ATP5ME
MSigDB_Hallmark_2020	heme Metabolism	9/200	1.880243e-01	3.223274e-01	0	0	1.440893e+00	2.407997e+00	NFE2;HBZ;CCND3;GYPC;LAMP2;BLVRB;ICAM4;AHSP;ADD1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	4/74	2.090942e-01	3.460869e-01	0	0	1.744485e+00	2.730067e+00	FDPS;ETHE1;ECH1;TP53INP1
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	5/105	2.422096e-01	3.808449e-01	0	0	1.526466e+00	2.164455e+00	PRKCB;LCK;SLA;FASLG;IL2RG
MSigDB_Hallmark_2020	TGF-beta Signaling	3/54	2.459623e-01	3.808449e-01	0	0	1.794722e+00	2.517235e+00	CDKN1C;THBS1;HIPK2
MSigDB_Hallmark_2020	Bile Acid Metabolism	5/112	2.846003e-01	4.269005e-01	0	0	1.426085e+00	1.792118e+00	ABCA1;GNPAT;RXRA;LCK;SLC27A5
MSigDB_Hallmark_2020	mTORC1 Signaling	8/200	3.048734e-01	4.304095e-01	0	0	1.272028e+00	1.510989e+00	PSMA4;CANX;SLA;ELOVL6;GLRX;CFP;ADD3;SYTL2
MSigDB_Hallmark_2020	Glycolysis	8/200	3.048734e-01	4.304095e-01	0	0	1.272028e+00	1.510989e+00	TKTL1;VCAN;CHST12;SDC3;GLRX;TXN;PYGL;CD44
MSigDB_Hallmark_2020	Angiogenesis	2/36	3.182052e-01	4.363957e-01	0	0	1.793468e+00	2.053627e+00	VCAN;S100A4
