Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	response to endoplasmic reticulum stress (GO:0034976)	7/110	1.128252e-04	6.932402e-02	0	0	7.009251e+00	6.371179e+01	PPP1R15A;DDIT3;ALOX15;BCL2;DNAJB9;ATF3;HERPUD1
GO_Biological_Process_2021	entrainment of circadian clock by photoperiod (GO:0043153)	4/27	1.368074e-04	6.932402e-02	0	0	1.773106e+01	1.577521e+02	PER1;BHLHE40;SIK1;FBXL6
GO_Biological_Process_2021	photoperiodism (GO:0009648)	4/28	1.583783e-04	6.932402e-02	0	0	1.699141e+01	1.486837e+02	PER1;BHLHE40;SIK1;FBXL6
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	11/296	1.858553e-04	6.932402e-02	0	0	4.028277e+00	3.460508e+01	TSPYL2;PPP1R15A;NR4A1;CDKN1B;CCND1;DUSP1;ZNF703;CKS2;SIK1;JUNB;FBXL6
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	14/482	3.326137e-04	7.428147e-02	0	0	3.143302e+00	2.517322e+01	CDKN1B;IL20;CEBPD;DUSP1;ALOX15;NR1D1;FOS;ZFP36;SOCS1;CCND1;UBC;BCL2;JUNB;CCL17
GO_Biological_Process_2021	stress-activated MAPK cascade (GO:0051403)	5/62	3.701944e-04	7.428147e-02	0	0	8.974184e+00	7.090936e+01	PTGER4;ZFP36;RIPK2;UBC;TRIB1
GO_Biological_Process_2021	embryonic cranial skeleton morphogenesis (GO:0048701)	3/15	3.982920e-04	7.428147e-02	0	0	2.537179e+01	1.986187e+02	MTHFD1L;EIF4A3;TGFBR2
GO_Biological_Process_2021	endoderm development (GO:0007492)	3/15	3.982920e-04	7.428147e-02	0	0	2.537179e+01	1.986187e+02	DUSP5;DUSP2;DUSP1
GO_Biological_Process_2021	regulation of p38MAPK cascade (GO:1900744)	4/37	4.765522e-04	7.900176e-02	0	0	1.235177e+01	9.447783e+01	PER1;NCF1;DUSP1;RELL1
GO_Biological_Process_2021	regulation of mitochondrial membrane potential (GO:0051881)	4/41	7.085245e-04	8.504124e-02	0	0	1.101421e+01	7.987864e+01	BCL2;PMAIP1;SLC25A33;RNF122
GO_Biological_Process_2021	JNK cascade (GO:0007254)	4/41	7.085245e-04	8.504124e-02	0	0	1.101421e+01	7.987864e+01	PTGER4;RIPK2;UBC;TRIB1
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	20/908	7.097942e-04	8.504124e-02	0	0	2.393208e+00	1.735204e+01	CSRNP1;EGR2;RIPK2;CITED4;NR1D1;FOS;KLF4;UTF1;ETV5;NR4A2;ASXL1;PER1;NR4A1;KLF6;KLF5;DDIT3;UBC;NKX6-1;JUNB;ATF3
GO_Biological_Process_2021	cellular response to glucose starvation (GO:0042149)	4/43	8.502220e-04	8.504124e-02	0	0	1.044832e+01	7.386977e+01	NUAK2;SIK1B;PMAIP1;SIK1
GO_Biological_Process_2021	negative regulation of CREB transcription factor activity (GO:0032792)	2/5	9.561999e-04	8.504124e-02	0	0	6.734354e+01	4.682089e+02	DDIT3;SIK1
GO_Biological_Process_2021	negative regulation of apoptotic signaling pathway (GO:2001234)	5/78	1.063139e-03	8.504124e-02	0	0	7.001562e+00	4.793640e+01	NR4A2;SIAH2;BCL2;SH3RF1;HERPUD1
GO_Biological_Process_2021	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)	3/22	1.281010e-03	8.504124e-02	0	0	1.601862e+01	1.066857e+02	DDIT3;PMAIP1;HERPUD1
GO_Biological_Process_2021	peptidyl-threonine dephosphorylation (GO:0035970)	3/22	1.281010e-03	8.504124e-02	0	0	1.601862e+01	1.066857e+02	DUSP5;DUSP2;DUSP1
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	16/684	1.321866e-03	8.504124e-02	0	0	2.518129e+00	1.669195e+01	ZNF10;NR1D1;KLF4;HIC1;ETV5;NR4A2;PER1;DNAJB1;ZFP36;CCND1;DDIT3;BHLHE40;UBC;FOSB;NKX6-1;ATF3
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	15/621	1.363465e-03	8.504124e-02	0	0	2.596440e+00	1.713060e+01	CDKN1B;IL20;CEBPD;RIPK2;ALOX15;FOS;SOCS1;CCND1;HNRNPDL;UBC;BCL2;TNFSF9;JUNB;CCL17;HLA-DQB1
GO_Biological_Process_2021	response to unfolded protein (GO:0006986)	4/49	1.393839e-03	8.504124e-02	0	0	9.052463e+00	5.952622e+01	DNAJB1;DDIT3;HSPE1;HERPUD1
GO_Biological_Process_2021	negative regulation of signal transduction (GO:0009968)	9/267	1.413015e-03	8.504124e-02	0	0	3.607235e+00	2.367078e+01	NR4A2;ASXL1;RGS2;SOCS1;SIAH2;PTCH2;BCL2;TRIB1;HIC1
GO_Biological_Process_2021	negative regulation of monocyte chemotaxis (GO:0090027)	2/6	1.424954e-03	8.504124e-02	0	0	5.050510e+01	3.309910e+02	DUSP1;SLAMF8
GO_Biological_Process_2021	regulation of type B pancreatic cell proliferation (GO:0061469)	2/6	1.424954e-03	8.504124e-02	0	0	5.050510e+01	3.309910e+02	NR4A1;NR1D1
GO_Biological_Process_2021	positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902237)	2/6	1.424954e-03	8.504124e-02	0	0	5.050510e+01	3.309910e+02	DDIT3;PMAIP1
GO_Biological_Process_2021	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043)	2/6	1.424954e-03	8.504124e-02	0	0	5.050510e+01	3.309910e+02	PMAIP1;ATF3
GO_Biological_Process_2021	regulation of intrinsic apoptotic signaling pathway (GO:2001242)	4/52	1.740395e-03	9.987189e-02	0	0	8.485395e+00	5.391317e+01	DDIT3;BCL2;PMAIP1;HERPUD1
GO_Biological_Process_2021	response to host defenses (GO:0052200)	2/7	1.981945e-03	1.019677e-01	0	0	4.040204e+01	2.514492e+02	UBC;MRC1
GO_Biological_Process_2021	lipoxin biosynthetic process (GO:2001301)	2/7	1.981945e-03	1.019677e-01	0	0	4.040204e+01	2.514492e+02	ALOX15;ALOX5AP
GO_Biological_Process_2021	modulation by symbiont of host defense response (GO:0052031)	2/7	1.981945e-03	1.019677e-01	0	0	4.040204e+01	2.514492e+02	UBC;MRC1
GO_Biological_Process_2021	fat cell differentiation (GO:0045444)	4/58	2.604759e-03	1.224092e-01	0	0	7.540283e+00	4.486781e+01	NR4A2;NR4A1;EGR2;KLF4
GO_Biological_Process_2021	benzene-containing compound metabolic process (GO:0042537)	2/8	2.625399e-03	1.224092e-01	0	0	3.366667e+01	2.000649e+02	CYP2E1;KMO
GO_Biological_Process_2021	negative regulation of mitochondrial membrane potential (GO:0010917)	2/8	2.625399e-03	1.224092e-01	0	0	3.366667e+01	2.000649e+02	PMAIP1;RNF122
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	19/948	2.824308e-03	1.250880e-01	0	0	2.156382e+00	1.265687e+01	CDKN1B;ZNF10;NR1D1;KLF4;HIC1;ETV5;NR4A2;PER1;DNAJB1;ZFP36;CCND1;DDIT3;ZNF703;BHLHE40;UBC;FOSB;ZNF503;NKX6-1;ATF3
