Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	29/200	1.546970e-25	6.342578e-24	0	0	1.969961e+01	1.125406e+03	PTGER4;PPP1R15A;CD83;CEBPD;SLC2A3;ZFP36;SNN;CCND1;JUNB;DUSP5;EGR2;DUSP2;DUSP1;RIPK2;TIPARP;FOS;KLF4;NR4A2;PER1;NR4A1;KLF6;TUBB2A;BHLHE40;KLF9;TNFSF9;FOSB;SIK1;TRIB1;ATF3
MSigDB_Hallmark_2020	Hypoxia	13/200	1.035691e-07	2.123168e-06	0	0	7.370863e+00	1.185458e+02	PPP1R15A;CDKN1B;DUSP1;TIPARP;SIAH2;SLC2A3;FOS;ZFP36;KLF6;DDIT3;BHLHE40;BCL2;ATF3
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	10/199	3.043204e-05	3.255579e-04	0	0	5.519813e+00	5.740614e+01	ARL4A;KLF6;SOCS1;CD83;BHLHE40;ODC1;BCL2;RHOH;SLC2A3;PLPP1
MSigDB_Hallmark_2020	Estrogen Response Early	10/200	3.176175e-05	3.255579e-04	0	0	5.490482e+00	5.686628e+01	CCND1;TIPARP;SIAH2;BHLHE40;BCL2;PMAIP1;FOS;RRP12;KLF4;PAPSS2
MSigDB_Hallmark_2020	Estrogen Response Late	9/200	1.762450e-04	1.204341e-03	0	0	4.889304e+00	4.226137e+01	DUSP2;ZFP36;CCND1;SIAH2;PTGER3;BCL2;FOS;KLF4;PAPSS2
MSigDB_Hallmark_2020	p53 Pathway	9/200	1.762450e-04	1.204341e-03	0	0	4.889304e+00	4.226137e+01	TSPYL2;PPP1R15A;SOCS1;DDIT3;TNFSF9;SLC3A2;FOS;KLF4;ATF3
MSigDB_Hallmark_2020	Androgen Response	6/100	4.808213e-04	2.816239e-03	0	0	6.551862e+00	5.005632e+01	CCND1;PTPN21;DNAJB9;RRP12;PLPP1;UBE2J1
MSigDB_Hallmark_2020	Unfolded Protein Response	6/113	9.167192e-04	4.625971e-03	0	0	5.752044e+00	4.023388e+01	TSPYL2;TUBB2A;EIF4A3;DNAJB9;ATF3;HERPUD1
MSigDB_Hallmark_2020	UV Response Up	7/158	1.015457e-03	4.625971e-03	0	0	4.769495e+00	3.287334e+01	NR4A1;DNAJB1;CHKA;FOSB;FOS;JUNB;ATF3
MSigDB_Hallmark_2020	Myc Targets V2	4/58	2.604759e-03	1.067951e-02	0	0	7.540283e+00	4.486781e+01	DUSP2;RRP12;HSPE1;SRM
MSigDB_Hallmark_2020	Apoptosis	6/161	5.413830e-03	2.017882e-02	0	0	3.961089e+00	2.067212e+01	CDKN1B;CCND1;DDIT3;PMAIP1;NEDD9;ATF3
MSigDB_Hallmark_2020	Cholesterol Homeostasis	4/74	6.250752e-03	2.135674e-02	0	0	5.812077e+00	2.949660e+01	CHKA;CYP51A1;ATF3;GNAI1
MSigDB_Hallmark_2020	UV Response Dn	5/144	1.438700e-02	4.049078e-02	0	0	3.664778e+00	1.554390e+01	CDKN1B;DUSP1;BHLHE40;PTPN21;TGFBR2
MSigDB_Hallmark_2020	mTORC1 Signaling	6/200	1.481370e-02	4.049078e-02	0	0	3.158505e+00	1.330426e+01	PPP1R15A;DDIT3;BHLHE40;CYP51A1;SLC2A3;HSPE1
