Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	17/90	4.612244e-14	5.952211e-11	0	0	1.537849e+01	4.722346e+02	RPL4;RPL31;RPS8;RPL34;RPL9;RPS16;RPS27;RPL18A;RPS18;RPL14;RPL38;RPL37;RPL15;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	17/93	8.160297e-14	5.952211e-11	0	0	1.476918e+01	4.450976e+02	RPL4;RPL31;RPS8;RPL34;RPL9;RPS16;RPS27;RPL18A;RPS18;RPL14;RPL38;RPL37;RPL15;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	17/94	9.822130e-14	5.952211e-11	0	0	1.457663e+01	4.365928e+02	RPL4;RPL31;RPS8;RPL34;RPL9;RPS16;RPS27;RPL18A;RPS18;RPL14;RPL38;RPL37;RPL15;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	18/113	1.813431e-13	8.242043e-11	0	0	1.254047e+01	3.679171e+02	RPL4;RPL31;RPS8;RPL34;RPL9;RPS16;RPS27;RPL18A;RPS18;RPL14;RPL38;EIF3E;RPL37;RPL15;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	17/103	4.720299e-13	1.716301e-10	0	0	1.304518e+01	3.702448e+02	RPL4;RPL31;RPS8;RPL34;RPL9;RPS16;RPS27;RPL18A;RPS18;RPL14;RPL38;RPL37;RPL15;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	19/162	1.059983e-11	3.211748e-09	0	0	8.802110e+00	2.224309e+02	RPL4;RPL31;RPS8;RPL34;RRBP1;RPL9;EEF1A1;RPS16;RPS27;RPL18A;RPS18;RPL14;RPL38;RPL37;RPL15;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	19/171	2.768556e-11	7.190336e-09	0	0	8.277119e+00	2.012177e+02	RPL4;RPL31;RPS8;RPL34;RPL9;RPS16;RPS27;RPL18A;RPS18;RPL14;RPL38;ATM;EIF3E;RPL37;RPL15;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	19/214	1.325829e-09	3.012947e-07	0	0	6.437705e+00	1.315946e+02	RPL4;RPL31;RPS8;RPL34;RRBP1;RPL9;EEF1A1;RPS16;RPS27;RPL18A;RPS18;RPL14;RPL38;RPL37;RPL15;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	21/314	2.843819e-08	5.744515e-06	0	0	4.743829e+00	8.242656e+01	RPL4;RPL31;RPS8;RPL34;RRBP1;RPL9;EEF1A1;RPS16;RPS27;RPL18A;RPS18;RPL14;RPL38;ATM;RPL37;RPL15;RPS11;RPS27A;RPS13;RPS23;B4GALT5
GO_Biological_Process_2021	gene expression (GO:0010467)	22/356	5.409126e-08	9.833791e-06	0	0	4.365351e+00	7.304365e+01	RPL4;RPL31;RPS8;RPL34;RRBP1;RPL9;SORL1;TSPAN32;EEF1A1;TSPAN15;RPS27;RPS16;RPL18A;RPS18;RPL14;RPL38;RPL15;RPL37;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	22/417	8.169795e-07	1.350244e-04	0	0	3.679573e+00	5.157898e+01	RPL4;RPL31;RPS8;RPL34;RRBP1;RPL9;EEF1A1;RPS27;RPS16;RPL18A;RPS18;STK38;RPL14;RPL38;IGFBP7;RPL15;RPL37;TIMP1;RPS11;RPS27A;RPS13;RPS23
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	11/162	5.232238e-05	7.926841e-03	0	0	4.696632e+00	4.629980e+01	RPL4;RPS16;RPS27;RPL18A;RPL31;RPL34;RPL14;RPL38;RPL37;RPL15;RPL9
GO_Biological_Process_2021	rRNA processing (GO:0006364)	11/173	9.466947e-05	1.323916e-02	0	0	4.375260e+00	4.053730e+01	RPL4;RPS16;RPS27;RPL18A;RPL31;RPL34;RPL14;RPL38;RPL37;RPL15;RPL9
GO_Biological_Process_2021	T-helper 17 cell differentiation (GO:0072539)	3/7	1.280253e-04	1.662500e-02	0	0	4.746463e+01	4.254389e+02	RORC;SLAMF6;LY9
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	11/192	2.367045e-04	2.868859e-02	0	0	3.912167e+00	3.266150e+01	RPL4;RPS16;RPS27;RPL18A;RPL31;RPL34;RPL14;RPL38;RPL37;RPL15;RPL9
GO_Biological_Process_2021	regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)	3/9	3.001606e-04	3.410574e-02	0	0	3.163987e+01	2.566371e+02	EPHA4;BIN1;SORL1
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	11/201	3.506638e-04	3.750040e-02	0	0	3.725135e+00	2.963599e+01	RPL4;RPS16;RPS27;RPL18A;RPL31;RPL34;RPL14;RPL38;RPL37;RPL15;RPL9
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	10/179	5.500384e-04	5.519372e-02	0	0	3.798855e+00	2.851240e+01	ITGB1;FGR;NPDC1;ITGB2;ICAM2;ICAM3;SLAMF6;CD3G;CD247;BIRC3
GO_Biological_Process_2021	toll-like receptor signaling pathway (GO:0002224)	7/91	5.768321e-04	5.519372e-02	0	0	5.320847e+00	3.968266e+01	RPS6KA3;ITGAM;MAP3K1;UNC93B1;ITGB2;RPS27A;BIRC3
GO_Biological_Process_2021	protein localization to cell surface (GO:0034394)	4/28	9.063037e-04	8.238301e-02	0	0	1.057097e+01	7.406164e+01	FLNA;CTNNB1;FBLN5;VCL
GO_Biological_Process_2021	regulation of leukocyte adhesion to vascular endothelial cell (GO:1904994)	3/13	9.753891e-04	8.444083e-02	0	0	1.898006e+01	1.315826e+02	FUT7;ITGB2;ZDHHC21
GO_Biological_Process_2021	positive regulation of leukocyte degranulation (GO:0043302)	3/14	1.227036e-03	1.013978e-01	0	0	1.725373e+01	1.156544e+02	FGR;ITGAM;ITGB2
GO_Biological_Process_2021	steroid hormone mediated signaling pathway (GO:0043401)	3/15	1.516055e-03	1.198343e-01	0	0	1.581511e+01	1.026661e+02	CALCOCO1;RHOXF1;BMP7
GO_Biological_Process_2021	regulation of establishment of endothelial barrier (GO:1903140)	3/17	2.213705e-03	1.603442e-01	0	0	1.355443e+01	8.285943e+01	ZDHHC21;S1PR3;VCL
GO_Biological_Process_2021	regulation of neutrophil degranulation (GO:0043313)	2/5	2.381349e-03	1.603442e-01	0	0	4.205769e+01	2.540322e+02	ITGAM;ITGB2
GO_Biological_Process_2021	regulation of T-helper 1 cell cytokine production (GO:2000554)	2/5	2.381349e-03	1.603442e-01	0	0	4.205769e+01	2.540322e+02	IL1R1;IL18R1
GO_Biological_Process_2021	positive regulation of T-helper 1 cell cytokine production (GO:2000556)	2/5	2.381349e-03	1.603442e-01	0	0	4.205769e+01	2.540322e+02	IL1R1;IL18R1
GO_Biological_Process_2021	negative regulation of endopeptidase activity (GO:0010951)	5/63	3.086570e-03	1.947475e-01	0	0	5.475951e+00	3.165480e+01	SERPINA11;BIN1;SERPINF1;TIMP1;SORL1
GO_Biological_Process_2021	regulation of ion transmembrane transporter activity (GO:0032412)	4/39	3.180168e-03	1.947475e-01	0	0	7.244608e+00	4.166245e+01	FXYD1;PDZK1;FXYD5;SCN1B
GO_Biological_Process_2021	regulation of protein localization to cilium (GO:1903564)	2/6	3.535021e-03	1.947475e-01	0	0	3.154167e+01	1.780538e+02	CCDC66;LZTFL1
GO_Biological_Process_2021	regulation of response to reactive oxygen species (GO:1901031)	2/6	3.535021e-03	1.947475e-01	0	0	3.154167e+01	1.780538e+02	BMP7;FBLN5
GO_Biological_Process_2021	regulation of superoxide metabolic process (GO:0090322)	2/6	3.535021e-03	1.947475e-01	0	0	3.154167e+01	1.780538e+02	BMP7;FBLN5
GO_Biological_Process_2021	T-helper 17 cell lineage commitment (GO:0072540)	2/6	3.535021e-03	1.947475e-01	0	0	3.154167e+01	1.780538e+02	SLAMF6;LY9
GO_Biological_Process_2021	regulation of dopamine metabolic process (GO:0042053)	2/7	4.897826e-03	2.406553e-01	0	0	2.523205e+01	1.342084e+02	ITGAM;ITGB2
