Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Allograft Rejection	11/200	3.360771e-04	1.445132e-02	0	0	3.745036e+00	2.995344e+01	FGR;CCND3;IL18RAP;TRAT1;ITGB2;FLNA;CD3G;TIMP1;LTB;CD247;RPL9
MSigDB_Hallmark_2020	Inflammatory Response	9/200	4.465689e-03	9.601232e-02	0	0	3.011844e+00	1.629809e+01	GPR132;IL18RAP;IL1R1;HPN;TIMP1;EMP3;IL7R;SCN1B;IL18R1
MSigDB_Hallmark_2020	Apoptosis	7/161	1.379883e-02	1.977833e-01	0	0	2.891916e+00	1.238657e+01	ANXA1;BIK;TXNIP;TSPO;CTNNB1;TIMP1;BIRC3
MSigDB_Hallmark_2020	Mitotic Spindle	7/199	3.807874e-02	2.093750e-01	0	0	2.315045e+00	7.565796e+00	PREX1;BIN1;PXN;FLNA;FLNB;VCL;CLASP1
MSigDB_Hallmark_2020	Estrogen Response Early	7/200	3.895348e-02	2.093750e-01	0	0	2.302932e+00	7.473905e+00	CLIC3;RPS6KA2;SH3BP5;FLNB;PDZK1;ADD3;TOB1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	7/200	3.895348e-02	2.093750e-01	0	0	2.302932e+00	7.473905e+00	ITGB1;FLNA;TIMP1;EMP3;FBLN5;MATN2;CTHRC1
MSigDB_Hallmark_2020	p53 Pathway	7/200	3.895348e-02	2.093750e-01	0	0	2.302932e+00	7.473905e+00	CCND3;ZMAT3;ZBTB16;TXNIP;CTSF;TOB1;TP63
MSigDB_Hallmark_2020	KRAS Signaling Up	7/200	3.895348e-02	2.093750e-01	0	0	2.302932e+00	7.473905e+00	ST6GAL1;MAP3K1;ITGB2;IL7R;SCN1B;SNAP91;BIRC3
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	4/87	4.816831e-02	2.301375e-01	0	0	3.047493e+00	9.243211e+00	IL1R1;LTB;IRF9;IL18R1
MSigDB_Hallmark_2020	Androgen Response	4/100	7.272729e-02	3.127273e-01	0	0	2.633065e+00	6.901364e+00	RPS6KA3;INPP4B;CCND3;HERC3
MSigDB_Hallmark_2020	Estrogen Response Late	6/200	9.602690e-02	3.396696e-01	0	0	1.957290e+00	4.586179e+00	CLIC3;RPS6KA2;FLNB;PDZK1;ADD3;TOB1
MSigDB_Hallmark_2020	heme Metabolism	6/200	9.602690e-02	3.396696e-01	0	0	1.957290e+00	4.586179e+00	CCND3;YPEL5;LRP10;DCAF11;KLF3;EZH1
MSigDB_Hallmark_2020	Angiogenesis	2/36	1.093289e-01	3.396696e-01	0	0	3.705128e+00	8.200910e+00	JAG1;TIMP1
