Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	65/277	8.902272e-23	3.439838e-19	0	0	5.236152e+00	2.658559e+02	TOP2A;FEN1;RIF1;MCM7;GMNN;NUDT1;HMGB3;MCM10;BRCA1;EXO1;NBN;KPNA2;TOP3B;WDHD1;HELLS;RMI2;RFC3;PARP1;LIG1;RFC1;NSMCE3;SMC1A;RAD51B;MSH6;SUPV3L1;RAD51C;MSH3;TIMELESS;MCM3;MCM4;DNA2;MCM6;DCTPP1;MCM2;PRIM2;RTEL1;DNMT1;PCNA;RNASEH2A;PARG;PRKDC;UHRF1;PRIM1;PDS5A;UNG;ORC6;CDC45;POLD1;RBBP8;RAD54L;UVRAG;XRCC6;XRCC5;XRCC2;CNBP;FANCC;CDC6;POLA2;RAD50;RAD51;RPA3;UBE2N;CDK1;RAN;CENPS
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	42/157	2.213879e-17	4.277214e-14	0	0	6.140176e+00	2.354709e+02	GPSM2;SEH1L;WDR62;SMC3;CENPA;AURKB;CDC20;NUP85;RCC1;KNTC1;CEP192;MAP4;PCNT;DYNC1H1;STIL;NUDC;PLK2;KIF23;TUBG1;SMC1A;CKAP5;RHOA;MZT1;TPX2;CENPE;KIF18A;KIF2A;CENPH;KIFC1;INCENP;PRC1;KIF4A;CENPL;BIRC5;CENPM;CENPN;NUP98;KPNB1;RAN;CCDC61;CENPS;SPC25
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	47/209	4.768002e-16	6.141186e-13	0	0	4.887364e+00	1.724234e+02	YWHAE;KHDRBS1;CDKN1A;USP37;CTDP1;FOXM1;TUBA1A;PPME1;CNTRL;EIF4EBP1;RCC1;CEP192;NEK2;SKP2;PCNT;CDK5RAP2;CEP78;CDKN2D;DYNC1H1;HSP90AA1;CDKN2C;PLK2;TUBB;CEP152;HAUS4;HAUS6;TUBG1;TUBB4B;CDC25C;MASTL;CKAP5;TUBA4A;DNM2;CCNA2;CDK6;CCNE2;NASP;CCNE1;UBE2S;CDK4;CENPJ;TACC3;CDK1;BCAT1;CCNJL;FBXL6;CDKN3
GO_Biological_Process_2021	DNA replication (GO:0006260)	33/108	8.229121e-16	7.949331e-13	0	0	7.353838e+00	2.554259e+02	FEN1;RNASEH2A;SET;MCM7;MCM10;BRCA1;ORC6;CDC45;EXO1;POLD1;RBBP8;MCMBP;NBN;CLSPN;WDHD1;RFC3;RMI2;RFC1;CDC6;BAZ1A;FAM111B;FAM111A;POLA2;RAD50;RPA3;TIMELESS;CDK1;MCM3;MCM4;CDK2AP1;DNA2;MCM6;MCM2
GO_Biological_Process_2021	DNA repair (GO:0006281)	56/298	3.495580e-15	2.701384e-12	0	0	3.913268e+00	1.302620e+02	FEN1;GTF2H2C;NUDT1;NUCKS1;CIB1;BRCA1;EXO1;NBN;KPNA2;WDHD1;RMI2;RFC3;PARP1;LIG1;NSMCE3;BAZ1B;SMC1A;RAD51B;MSH6;RAD51C;MSH3;TIMELESS;DNA2;UBE2V1;PCNA;RNASEH2A;PRKDC;CDCA5;PDS5A;UNG;POLD1;NSD2;USP1;RBBP8;RAD54L;PMS2;ASCC3;PMS1;CDKN2D;FANCI;UVRAG;FANCM;XRCC5;XRCC2;APEX2;FANCC;FANCB;MLH1;FAM111A;RAD50;RAD51;RPA3;RFWD3;UBE2N;CDK1;CENPS
GO_Biological_Process_2021	DNA-dependent DNA replication (GO:0006261)	35/129	6.441099e-15	4.148068e-12	0	0	6.227817e+00	2.035006e+02	PRIM2;PSMD11;PSMD14;MCM7;PRIM1;GMNN;MCM10;PSMD9;ORC6;CDC45;POLD1;PSMD3;PSMD1;MCMBP;GINS1;WDHD1;GINS2;RFC3;RFC1;GINS4;HMGA1;CDC6;BAZ1A;PSMA6;POLA2;PSMA3;RAD51;RPA3;MCM3;PSME2;MCM4;CDK2AP1;DNA2;MCM6;MCM2
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	37/149	2.337609e-14	1.290360e-11	0	0	5.530161e+00	1.735755e+02	YWHAE;PSMD11;PSMD14;HMMR;PSMD9;TUBA1A;PSMD3;CNTRL;PSMD1;NEK2;CEP192;FBXO5;PCNT;CDK5RAP2;CEP78;DYNC1H1;HSP90AA1;TUBB;CEP152;HAUS4;HAUS6;CDC25C;TUBG1;TUBB4B;CKAP5;TUBA4A;RBX1;RAD51B;TPX2;PSMA6;PSMA3;RAD51C;CDK4;CENPJ;CDK1;PSME2;DTL
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	34/128	3.111955e-14	1.503074e-11	0	0	6.044487e+00	1.879892e+02	GPSM2;SEH1L;WDR62;CENPA;AURKB;CDC20;NUP85;NUSAP1;RCC1;KNTC1;MAP4;PCNT;DYNC1H1;STIL;NUDC;PLK2;TUBG1;CKAP5;CENPE;KIF18A;KIF2A;CENPH;INCENP;KIF4A;CENPL;TACC3;BIRC5;CENPM;CENPN;NUP98;KPNB1;RAN;CENPS;SPC25
GO_Biological_Process_2021	double-strand break repair via homologous recombination (GO:0000724)	28/97	6.106401e-13	2.621681e-10	0	0	6.754291e+00	1.899595e+02	FEN1;PSMD14;MCM7;NUCKS1;BRCA1;CDC45;RBBP8;RAD54L;NBN;GINS2;FANCM;PARP1;XRCC2;GINS4;FANCB;RAD51B;MMS22L;SFPQ;RAD50;RAD51C;RAD51;RPA3;RFWD3;UBE2N;MCM3;MCM4;MCM6;MCM2
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	57/350	1.115571e-12	4.310566e-10	0	0	3.283801e+00	9.037565e+01	TOP2A;FEN1;CDKN1A;RIF1;MCM7;NUDT1;CIB1;MCM10;BRCA1;PIDD1;EXO1;NBN;WDHD1;RMI2;RFC3;PARP1;LIG1;NSMCE3;BAZ1B;MASTL;SMC1A;TNFRSF1B;WDR76;HIC1;RAD51B;MSH6;RAD51C;MSH3;DDIT3;TIMELESS;IRF7;DTL;RTEL1;DCUN1D5;UBA7;PRKDC;PDS5A;CRIP1;UNG;POLD1;RBBP8;RAD54L;RBBP6;UVRAG;SLF1;CBX5;XRCC5;CBX3;XRCC2;FANCC;FAM111A;RAD50;RAD51;RFWD3;BCL3;CDK1;CENPS
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	39/188	2.277516e-12	8.000293e-10	0	0	4.380772e+00	1.174394e+02	KLHL18;YWHAE;PSMD11;PSMD14;HMMR;CDC20;PSMD9;TUBA1A;PSMD3;CNTRL;PSMD1;KNTC1;NEK2;CEP192;FBXO5;PCNT;TMEM14B;CDK5RAP2;CEP78;DYNC1H1;HSP90AA1;TUBB;CEP152;HAUS4;HAUS6;CDC6;TUBG1;TUBB4B;CKAP5;TUBA4A;TPX2;PSMA6;CENPE;PSMA3;UBE2S;CENPJ;CDK1;PSME2;ANAPC4
GO_Biological_Process_2021	regulation of cell cycle G2/M phase transition (GO:1902749)	24/85	4.569448e-11	1.438912e-08	0	0	6.528298e+00	1.554325e+02	YWHAE;DYNC1H1;HSP90AA1;ATAD5;TUBB;CEP152;HAUS4;HAUS6;HMMR;TUBG1;TUBB4B;CKAP5;TUBA4A;TPX2;TUBA1A;CENPJ;CNTRL;CDK1;NEK2;CEP192;PCNT;GTSE1;CDK5RAP2;CEP78
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	30/130	4.841061e-11	1.438912e-08	0	0	4.993961e+00	1.186131e+02	YWHAE;KHDRBS1;CDKN1A;FOXM1;TUBA1A;PPME1;CNTRL;NEK2;CEP192;SKP2;PCNT;CDK5RAP2;CEP78;DYNC1H1;HSP90AA1;TUBB;CEP152;HAUS4;HAUS6;CDC25C;MASTL;TUBG1;TUBB4B;CKAP5;TUBA4A;DNM2;CCNA2;CENPJ;CDK1;FBXL6
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	30/131	5.937245e-11	1.638680e-08	0	0	4.944252e+00	1.164232e+02	YWHAE;KHDRBS1;CDKN1A;FOXM1;TUBA1A;PPME1;CNTRL;NEK2;CEP192;SKP2;PCNT;CDK5RAP2;CEP78;DYNC1H1;HSP90AA1;TUBB;CEP152;HAUS4;HAUS6;CDC25C;MASTL;TUBG1;TUBB4B;CKAP5;TUBA4A;DNM2;CCNA2;CENPJ;CDK1;FBXL6
GO_Biological_Process_2021	RNA processing (GO:0006396)	35/179	1.714063e-10	4.415425e-08	0	0	4.054540e+00	9.117437e+01	SF3B2;RNASEL;PDCD7;NOL9;U2AF1;BICD1;TSEN54;PTBP1;SNRPD2;SNRPD1;SNRPD3;SRSF11;CPSF6;SF3A2;FUS;NONO;PABPC4;USB1;TFIP11;MAGOHB;LSM4;HNRNPL;SFPQ;DKC1;HNRNPF;HNRNPA2B1;SNRPG;SRSF2;SNRPF;SNRNP25;CDK12;HNRNPH3;SRSF7;SNRPB;SRSF9
GO_Biological_Process_2021	G1/S transition of mitotic cell cycle (GO:0000082)	23/85	2.962210e-10	7.153737e-08	0	0	6.149617e+00	1.349221e+02	CDK17;CDKN2D;KHDRBS1;USP37;CDKN1A;PCNA;CDKN2C;RRM2;GFI1;PLK2;CDC6;TFDP1;CDC45;CDK6;CCNE2;NASP;CCNE1;CDK4;EIF4EBP1;RCC1;FBXO5;BCAT1;CDKN3
GO_Biological_Process_2021	mRNA processing (GO:0006397)	46/300	1.303947e-09	2.963796e-07	0	0	3.033057e+00	6.204988e+01	SF3B2;RNMT;PDCD7;EIF4A3;U2AF1;YBX1;ELAVL1;TBRG4;PTBP1;SNRPD2;SNRPD1;SNRNP70;PCBP1;SNIP1;SNRPD3;SRSF10;SRSF11;HSPA8;SF3A2;CPSF6;FUS;NONO;UPF3B;THOC3;TFIP11;MAGOHB;LSM4;U2SURP;HNRNPL;LSM7;SFPQ;DDX39A;SARNP;HNRNPF;HNRNPA2B1;SNRPG;SRSF2;SRSF3;BUD13;HNRNPH3;SNRPF;SNRNP25;SNRPC;SRSF7;SNRPB;SRSF9
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	41/251	1.535533e-09	3.296278e-07	0	0	3.262840e+00	6.621734e+01	SF3B2;PDCD7;EIF4A3;U2AF1;YBX1;ELAVL1;PTBP1;SNRPD2;SNRPD1;SNRNP70;PCBP1;SNIP1;SNRPD3;SRSF10;SRSF11;HSPA8;SF3A2;FUS;NONO;UPF3B;TFIP11;MAGOHB;LSM4;U2SURP;HNRNPL;LSM7;SFPQ;DDX39A;HNRNPF;HNRNPA2B1;SNRPG;SRSF2;SRSF3;BUD13;HNRNPH3;SNRPF;SNRNP25;SNRPC;SRSF7;SNRPB;SRSF9
GO_Biological_Process_2021	mitotic sister chromatid segregation (GO:0000070)	24/102	2.711974e-09	5.515299e-07	0	0	5.100843e+00	1.006171e+02	NUDC;SET;SEH1L;CDCA5;NCAPH2;NCAPG;KIF23;HASPIN;PDS5A;TUBG1;SMC1A;SMC4;NCAPH;SMC2;CENPE;KIF18A;KIFC1;PRC1;NUSAP1;CDK1;NCAPD2;NCAPD3;KPNB1;RAN
GO_Biological_Process_2021	RNA splicing (GO:0008380)	23/98	6.102425e-09	1.178989e-06	0	0	5.080165e+00	9.608918e+01	SF3B2;PDCD7;FUS;NONO;USB1;U2AF1;MAGOHB;LSM4;PTBP1;SFPQ;SNRPD2;SNRPD1;SNRPG;SRSF2;SNRPD3;SNRPF;SNRNP25;CDK12;HNRNPH3;SRSF7;SRSF10;SRSF11;SNRPB
GO_Biological_Process_2021	DNA replication initiation (GO:0006270)	14/38	1.122546e-08	2.065484e-06	0	0	9.613252e+00	1.759714e+02	PRIM2;MCM7;PRIM1;GMNN;MCM10;CDC6;POLA2;ORC6;CDC45;RPA3;MCM3;MCM4;MCM6;MCM2
GO_Biological_Process_2021	ciliary basal body-plasma membrane docking (GO:0097711)	22/95	1.690788e-08	2.969639e-06	0	0	4.988548e+00	8.927249e+01	YWHAE;IQCB1;DYNC1H1;HSP90AA1;TUBB;CEP152;RAB3IP;HAUS4;HAUS6;TUBG1;TUBB4B;CKAP5;TUBA4A;TUBA1A;CENPJ;CNTRL;CDK1;NEK2;CEP192;PCNT;CDK5RAP2;CEP78
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	41/274	2.089077e-08	3.509649e-06	0	0	2.937127e+00	5.194004e+01	SF3B2;PDCD7;EIF4A3;U2AF1;YBX1;ELAVL1;PTBP1;SNRPD2;SNRPD1;SNRNP70;PCBP1;SNIP1;SNRPD3;SRSF10;SRSF11;HSPA8;SF3A2;FUS;NONO;UPF3B;TFIP11;MAGOHB;LSM4;U2SURP;HNRNPL;LSM7;SFPQ;DDX39A;HNRNPF;HNRNPA2B1;SNRPG;SRSF2;SRSF3;BUD13;HNRNPH3;SNRPF;SNRNP25;SNRPC;SRSF7;SNRPB;SRSF9
GO_Biological_Process_2021	double-strand break repair via break-induced replication (GO:0000727)	8/12	4.887757e-08	7.869289e-06	0	0	3.282230e+01	5.525289e+02	GINS2;CDC45;MCM7;GINS4;MCM3;MCM4;MCM6;MCM2
GO_Biological_Process_2021	mitotic spindle assembly (GO:0090307)	14/44	9.625330e-08	1.487691e-05	0	0	7.688149e+00	1.242119e+02	KIF23;SMC3;SMC1A;AURKB;RHOA;MZT1;TPX2;KIF2A;PRC1;KIFC1;KIF4A;CEP192;KPNB1;CCDC61
