Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	E2F Targets	92/200	4.952820e-60	2.476410e-58	0	0	1.500028e+01	2.048365e+03	TOP2A;JPT1;CDKN1A;MCM7;CSE1L;HMGB3;BRCA1;SMC3;MKI67;SMC4;CKS1B;LMNB1;CDC20;PTTG1;WDR90;MYBL2;NBN;KPNA2;TMPO;TCF19;HELLS;RFC3;LIG1;RFC1;TUBB;TUBG1;SMC1A;NME1;MMS22L;ILF3;DDX39A;RAD51C;MTHFD2;CCNE1;CKS2;TIMELESS;SRSF2;MCM3;BIRC5;MCM4;MCM6;DCTPP1;SNRPB;MCM2;PRIM2;DNMT1;PCNA;RNASEH2A;CDCA3;PRKDC;NOLC1;HMMR;AURKB;UNG;TBRG4;PSMC3IP;PRDX4;ORC6;POLD1;EXOSC8;USP1;PMS2;E2F8;GINS1;NOP56;RANBP1;XRCC6;CDKN2C;CBX5;RRM2;ATAD2;GINS4;HMGA1;DEK;MLH1;PAICS;CENPE;POLA2;RAD50;NASP;UBE2S;CDK4;RPA3;KIF4A;TACC3;CDK1;CENPM;NCAPD2;RAN;EZH2;CDKN3;SPC25
MSigDB_Hallmark_2020	G2-M Checkpoint	77/200	2.059546e-43	5.148864e-42	0	0	1.086159e+01	1.067571e+03	TOP2A;JPT1;HMGB3;MKI67;SMC4;SMC2;KIF15;CKS1B;LMNB1;CDC20;MT2A;CHAF1A;PTTG1;SNRPD1;EXO1;NUSAP1;NEK2;MYBL2;FBXO5;KPNA2;TMPO;KIF23;SMC1A;CCNA2;SLC7A5;ILF3;SFPQ;DDX39A;TFDP1;EWSR1;INCENP;DKC1;NCL;CKS2;SRSF2;MCM3;BIRC5;NUP98;MCM6;KIF20B;KPNB1;MCM2;PRIM2;DTYMK;ODC1;NOLC1;HMMR;CENPA;AURKB;ORC6;CDC45;KATNA1;NSD2;RAD54L;E2F4;SRSF10;GINS2;HSPA8;STIL;CDKN2C;HMGA1;FANCC;CDC6;SQLE;TPX2;CENPE;POLA2;NASP;UBE2S;CDK4;PRC1;KIF4A;BCL3;TACC3;CDK1;EZH2;CDKN3
MSigDB_Hallmark_2020	Myc Targets V1	65/200	1.168151e-31	1.946919e-30	0	0	8.256679e+00	5.880796e+02	YWHAE;EIF4A1;MCM7;CDC20;SNRPD2;SNRPD1;C1QBP;PSMD3;PSMD1;SNRPD3;KPNA2;CCT3;PABPC4;GNL3;NME1;CCNA2;PSMA6;TFDP1;TCP1;VDAC3;SNRPG;NHP2;SRSF2;SRSF3;MCM4;VDAC1;ERH;HPRT1;MCM6;SRSF7;KPNB1;MCM2;PRPS2;SET;PCNA;PSMD14;GLO1;ODC1;NOLC1;U2AF1;PHB;HSPD1;SRM;PPM1G;PRDX3;LDHA;PRDX4;CDC45;PCBP1;USP1;PGK1;CYC1;CCT4;NOP56;RANBP1;XRCC6;CBX3;CNBP;DEK;HSPE1;LSM7;CDK4;HNRNPA2B1;UBA2;RAN
MSigDB_Hallmark_2020	mTORC1 Signaling	59/200	2.508796e-26	3.135994e-25	0	0	7.134073e+00	4.205351e+02	CDKN1A;SLC2A1;SLC2A3;ENO1;HK2;PNP;PHGDH;CTSC;FADS1;ACTR3;G6PD;TPI1;HMGCS1;CACYBP;TUBG1;UCHL5;TUBA4A;SLC7A5;PSMA3;DDX39A;MTHFD2;DDIT3;DDIT4;MCM4;HPRT1;ALDOA;EEF1E1;BCAT1;MCM2;IDI1;TOMM40;PSMD14;SHMT2;INSIG1;GMPS;AK4;SLC1A5;HMGCR;CORO1A;UNG;HSP90B1;ATP5MC1;HSPD1;LDHA;EBP;PRDX1;PGK1;LDLR;RRM2;GOT1;HSPA5;TXNRD1;CYP51A1;HSPE1;CCT6A;QDPR;SQLE;BHLHE40;PSMG1
MSigDB_Hallmark_2020	Mitotic Spindle	36/199	9.001221e-10	9.001221e-09	0	0	3.683808e+00	7.672816e+01	TOP2A;YWHAE;NEDD9;SMC3;SMC4;KIF15;LMNB1;EPB41L2;KATNA1;CNTRL;NUSAP1;CEP192;KNTC1;NEK2;FBXO5;PCNT;CDK5RAP2;DYNC1H1;GSN;RFC1;KIF23;SMC1A;CKAP5;TUBA4A;TPX2;CENPE;ARHGAP10;INCENP;PRC1;CENPJ;KIF4A;FSCN1;CDK1;BIRC5;KIF20B;DOCK2
MSigDB_Hallmark_2020	Myc Targets V2	17/58	1.650378e-08	1.375315e-07	0	0	6.844922e+00	1.226588e+02	NOP56;DUSP2;CBX3;PRMT3;NOLC1;PHB;HSPE1;HK2;GNL3;TBRG4;HSPD1;SRM;UNG;SUPV3L1;CDK4;MCM4;DCTPP1
MSigDB_Hallmark_2020	Glycolysis	32/200	1.546001e-07	1.104286e-06	0	0	3.164887e+00	4.963310e+01	COPB2;IDUA;AK4;ENO1;TXN;HMMR;CENPA;HK2;CLN6;LDHA;FUT8;PGK1;QSOX1;GUSB;G6PD;TPI1;MDH1;GOT1;HSPA5;PGAM1;GFPT1;VEGFA;KIF2A;NASP;DDIT4;CDK1;SLC25A10;ALDOA;ALDH7A1;DLD;PFKP;GALK1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	31/200	4.939110e-07	3.086944e-06	0	0	3.044970e+00	4.421574e+01	BTG3;CDKN1A;PFKFB3;CSF1;CEBPD;SERPINE1;SLC2A3;PTGS2;CXCL3;CCL5;PHLDA2;LDLR;DUSP4;KLF10;DUSP5;DUSP2;GADD45B;PLK2;NFKB1;VEGFA;FOSL1;RCAN1;YRDC;SPSB1;TUBB2A;BHLHE40;BCL3;TNFSF9;CD69;ATF3;HBEGF
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	29/199	4.070771e-06	1.876391e-05	0	0	2.826588e+00	3.508270e+01	PHTF2;CSF1;CD81;RGS16;ODC1;CAPG;RORA;SLC2A3;SLC1A5;ITGAE;ENO3;HK2;PNP;CA2;ST3GAL4;GADD45B;GPX4;GSTO1;EMP1;CDC6;TNFRSF1B;ADAM19;TWSG1;CCNE1;IRF4;IL2RA;BHLHE40;IL2RB;IRF8
MSigDB_Hallmark_2020	Fatty Acid Metabolism	25/158	4.215678e-06	1.876391e-05	0	0	3.109731e+00	3.848820e+01	GCDH;IDI1;ACAA2;ECHS1;ODC1;ENO3;ACAT2;LDHA;LGALS1;HSPH1;UROD;CA2;NBN;GLUL;YWHAH;HSP90AA1;HMGCS1;MDH1;NCAPH2;ACSL4;PRDX6;SMS;ALDOA;DLD;BLVRA
MSigDB_Hallmark_2020	Hypoxia	29/200	4.503338e-06	1.876391e-05	0	0	2.809908e+00	3.459191e+01	CDKN1A;PFKFB3;SERPINE1;SLC2A1;RORA;AK4;SLC2A3;ENO1;RBPJ;ENO3;HK2;MT2A;PRDX5;LDHA;PGK1;WSB1;TPI1;HSPA5;SIAH2;PRKCA;VEGFA;XPNPEP1;DDIT3;DDIT4;BHLHE40;ALDOA;ATF3;PFKP;GALK1
MSigDB_Hallmark_2020	Estrogen Response Late	29/200	4.503338e-06	1.876391e-05	0	0	2.809908e+00	3.459191e+01	TOP2A;BTG3;RNASEH2A;PTGER3;ETFB;CDC20;IMPA2;MDK;CA2;PERP;MYB;RBBP8;CKB;GINS2;DUSP2;STIL;SLC16A1;SIAH2;IDH2;CDC6;SLC7A5;FABP5;PPIF;PDCD4;BLVRB;CHPT1;HPRT1;SLC29A1;NBL1
MSigDB_Hallmark_2020	Unfolded Protein Response	20/113	6.803560e-06	2.616754e-05	0	0	3.549712e+00	4.223471e+01	TSPYL2;NOP56;EIF4A1;HSPA5;FUS;EIF4A3;EIF2AK3;NOLC1;LSM4;HSP90B1;CKS1B;VEGFA;SLC7A5;TUBB2A;MTHFD2;DKC1;DDIT4;NHP2;EIF4EBP1;ATF3
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	12/49	1.650368e-05	5.894172e-05	0	0	5.331790e+00	5.871328e+01	PDLIM1;CDKN2D;PRDX2;MSRA;G6PD;PRDX4;GPX4;PRDX1;TXNRD1;TXN;PRDX6;PFKP
MSigDB_Hallmark_2020	Oxidative Phosphorylation	27/200	3.511816e-05	1.170605e-04	0	0	2.581020e+00	2.647298e+01	ECHS1;OAT;ACAA2;ALAS1;COX17;NDUFB2;ATP5MC3;ETFB;ATP5MC1;PRDX3;LDHA;CYC1;NDUFV2;ATP5MF;COX8A;BCKDHA;ATP5PF;MDH1;GPX4;IDH2;SUPV3L1;AFG3L2;FDX1;VDAC3;NDUFS3;VDAC1;DLD
MSigDB_Hallmark_2020	DNA Repair	22/150	5.180996e-05	1.619061e-04	0	0	2.836695e+00	2.799231e+01	FEN1;RFC3;PCNA;ARL6IP1;LIG1;GPX4;RNMT;PRIM1;COX17;UPF3B;NME4;RBX1;NME1;POLA2;PNP;RAD51;RRM2B;MPC2;POLD1;RPA3;SNAPC4;HPRT1
MSigDB_Hallmark_2020	Androgen Response	17/100	5.571950e-05	1.638809e-04	0	0	3.373674e+00	3.304574e+01	IDI1;ABCC4;XRCC6;HMGCS1;XRCC5;ACTN1;INSIG1;UAP1;DBI;HMGCR;CDK6;ANKH;SMS;CENPN;SEC24D;SLC38A2;FADS1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	14/74	7.513947e-05	2.087208e-04	0	0	3.837945e+00	3.644576e+01	IDI1;HMGCS1;CHKA;CYP51A1;HMGCR;ACAT2;CXCL16;LGALS3;SQLE;EBP;FABP5;GUSB;LDLR;ATF3
