Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	47/90	1.169076e-76	1.188951e-73	0	0	1.914919e+02	3.348049e+04	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS15A;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPL15;RPS2;RPS11;RPL39;RPS10;RPS12;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;RPL26;RPL29;RPL28;UBA52;RPS21;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	47/94	1.955618e-75	9.944317e-73	0	0	1.751593e+02	3.013146e+04	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS15A;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPL15;RPS2;RPS11;RPL39;RPS10;RPS12;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;RPL26;RPL29;RPL28;UBA52;RPS21;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	46/93	1.709005e-73	5.793526e-71	0	0	1.699287e+02	2.847203e+04	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS15A;RPL18A;RPL36;RPL38;RPL37;RPL15;RPS2;RPS11;RPL39;RPS10;RPS12;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;RPL26;RPL29;RPL28;UBA52;RPS21;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	47/103	6.167159e-73	1.568000e-70	0	0	1.469418e+02	2.443194e+04	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS15A;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPL15;RPS2;RPS11;RPL39;RPS10;RPS12;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;RPL26;RPL29;RPL28;UBA52;RPS21;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	48/113	1.348352e-72	2.742548e-70	0	0	1.303846e+02	2.157699e+04	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS15A;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPL15;RPS2;RPS11;RPL39;RPS10;RPS12;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;EIF3E;RPL26;RPL29;RPL28;UBA52;RPS21;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	49/162	2.431379e-65	4.121187e-63	0	0	7.706474e+01	1.146566e+04	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS6;MRPS18C;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL36A;RPS15A;EIF4EBP2;RPL15;RPS2;RPL41;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	52/214	7.649430e-64	1.111353e-61	0	0	5.848514e+01	8.499693e+03	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPL47;MRPS6;MRPS18C;PPA1;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL36A;RPS15A;EIF4EBP2;RPL15;RPS2;RPL41;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	48/171	3.706381e-62	4.711737e-60	0	0	6.870035e+01	9.717679e+03	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPS15A;RPL18A;RPL36;RPLP2;RPL38;RPL15;RPS2;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL27;RPS20;EIF3E;RPL26;RPL29;RPL28;RPS21;UBA52;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	51/314	7.159865e-53	8.090648e-51	0	0	3.482844e+01	4.181800e+03	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS6;MRPS18C;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL36A;RPS15A;EIF4EBP2;RPL15;RPS2;POLR2K;POLR2L;RPL41;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	gene expression (GO:0010467)	52/356	1.916245e-51	1.948821e-49	0	0	3.094152e+01	3.613396e+03	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS6;MRPS18C;DDX19B;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL36A;RPS15A;EIF4EBP2;RPL15;RPS2;POLR2K;POLR2L;RPL41;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	51/417	2.380063e-46	2.200476e-44	0	0	2.489532e+01	2.615298e+03	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPL23;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS6;MRPS18C;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL36A;PARL;RPS15A;EIF4EBP2;RPL15;RPS2;RPL41;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	37/162	6.486877e-44	5.497628e-42	0	0	4.744423e+01	4.718042e+03	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPLP2;RPL38;RPL15;RPS2;RPL37;RPL39;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPL23A;RPS25;RPS27;RPL27A;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52
GO_Biological_Process_2021	rRNA processing (GO:0006364)	37/173	9.379806e-43	7.337895e-41	0	0	4.358250e+01	4.217591e+03	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPLP2;RPL38;RPL15;RPS2;RPL37;RPL39;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPL23A;RPS25;RPS27;RPL27A;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	37/192	6.142754e-41	4.462272e-39	0	0	3.820325e+01	3.537266e+03	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPLP2;RPL38;RPL15;RPS2;RPL37;RPL39;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPL23A;RPS25;RPS27;RPL27A;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	37/201	3.784721e-40	2.566041e-38	0	0	3.609022e+01	3.275997e+03	RPL4;RPL30;RPL31;RPL34;RPLP1;RPL36A;RPL10A;RPL9;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPLP2;RPL38;RPL15;RPS2;RPL37;RPL39;RPS9;RPL41;RPL21;RPL23;RPL22;RPS6;RPL13A;RPL23A;RPS25;RPS27;RPL27A;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52
GO_Biological_Process_2021	ribosomal small subunit biogenesis (GO:0042274)	7/40	2.745186e-08	1.744909e-06	0	0	2.746069e+01	4.781134e+02	RPS25;RPS17;RPS16;RPS27;RPS6;RPS27L;RPSA
GO_Biological_Process_2021	ribonucleoprotein complex biogenesis (GO:0022613)	7/60	4.973799e-07	2.975502e-05	0	0	1.708090e+01	2.479106e+02	RPS25;RPS17;RPS16;RPS6;RPL38;RPL26;RPL7
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	6/70	2.050087e-05	1.158299e-03	0	0	1.203896e+01	1.299611e+02	NDUFB8;NDUFA4;NDUFA2;NDUFC2;UQCR10;UQCRH
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6/71	2.224639e-05	1.190768e-03	0	0	1.185315e+01	1.269867e+02	NDUFB8;NDUFA4;NDUFA2;NDUFC2;UQCR10;UQCRH
GO_Biological_Process_2021	ribosomal large subunit biogenesis (GO:0042273)	5/57	9.211986e-05	4.684295e-03	0	0	1.227543e+01	1.140685e+02	RPL7A;RPL23A;RPL26;RPL10A;RPL7
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	4/39	2.608607e-04	1.263311e-02	0	0	1.450916e+01	1.197227e+02	NDUFB8;NDUFA4;NDUFA2;NDUFC2
GO_Biological_Process_2021	ribosomal small subunit assembly (GO:0000028)	3/17	3.146444e-04	1.391276e-02	0	0	2.706005e+01	2.182141e+02	RPS27;RPS27L;RPSA
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled proton transport (GO:0042776)	3/17	3.146444e-04	1.391276e-02	0	0	2.706005e+01	2.182141e+02	ATP5MC2;ATP5PO;ATP5ME
GO_Biological_Process_2021	ATP synthesis coupled proton transport (GO:0015986)	3/19	4.431319e-04	1.877772e-02	0	0	2.367516e+01	1.828111e+02	ATP5MC2;ATP5PO;ATP5ME
GO_Biological_Process_2021	aerobic respiration (GO:0009060)	3/21	6.011221e-04	2.445365e-02	0	0	2.104246e+01	1.560659e+02	BLOC1S1;UQCR10;UQCRH
GO_Biological_Process_2021	ribosome assembly (GO:0042255)	4/50	6.822268e-04	2.606401e-02	0	0	1.103344e+01	8.043545e+01	RPS27;RPS27L;RPSA;RPL23A
GO_Biological_Process_2021	positive regulation of signal transduction by p53 class mediator (GO:1901798)	3/22	6.919648e-04	2.606401e-02	0	0	1.993396e+01	1.450390e+02	RPL23;RPS20;RPL37
GO_Biological_Process_2021	ribonucleoprotein complex assembly (GO:0022618)	6/136	7.971511e-04	2.895367e-02	0	0	5.907093e+00	4.214396e+01	RPS27;RPS27L;RPL38;RPSA;SNRPE;RPL23A
