Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Oxidative Phosphorylation	10/200	4.948428e-06	1.583497e-04	0	0	6.894737e+00	8.422914e+01	LDHB;NDUFB8;NDUFA4;NDUFA2;ATP5MC2;ATP5PO;NDUFC2;UQCR10;UQCRH;ATP5ME
MSigDB_Hallmark_2020	Myc Targets V1	8/200	2.120125e-04	2.261467e-03	0	0	5.385965e+00	4.555915e+01	PSMA2;RPL34;RPL22;RPS6;SNRPB2;RPS2;PPIA;RPS10
MSigDB_Hallmark_2020	Allograft Rejection	8/200	2.120125e-04	2.261467e-03	0	0	5.385965e+00	4.555915e+01	SRGN;RPS9;IFNG;TRAT1;GZMA;RPS3A;RPL9;RPL39
MSigDB_Hallmark_2020	mTORC1 Signaling	6/200	5.513321e-03	4.410656e-02	0	0	3.945508e+00	2.051896e+01	PPA1;CXCR4;GLRX;ENO1;PPIA;SKAP2
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	3/49	7.071516e-03	4.525770e-02	0	0	8.222376e+00	4.071458e+01	GLRX;FTL;SOD1
MSigDB_Hallmark_2020	Interferon Gamma Response	5/200	2.249855e-02	8.999419e-02	0	0	3.249793e+00	1.233071e+01	MT2A;PSMA2;GZMA;PSME1;PSMB9
MSigDB_Hallmark_2020	Glycolysis	5/200	2.249855e-02	8.999419e-02	0	0	3.249793e+00	1.233071e+01	CXCR4;GLRX;ENO1;PPIA;SOD1
MSigDB_Hallmark_2020	p53 Pathway	5/200	2.249855e-02	8.999419e-02	0	0	3.249793e+00	1.233071e+01	LDHB;HINT1;RPL36;RPS27L;RPS12
MSigDB_Hallmark_2020	Hypoxia	4/200	7.706358e-02	2.241850e-01	0	0	2.569859e+00	6.586868e+00	MT2A;CXCR4;GLRX;ENO1
MSigDB_Hallmark_2020	Adipogenesis	4/200	7.706358e-02	2.241850e-01	0	0	2.569859e+00	6.586868e+00	DDT;ATP5PO;UQCR10;SOD1
MSigDB_Hallmark_2020	KRAS Signaling Up	4/200	7.706358e-02	2.241850e-01	0	0	2.569859e+00	6.586868e+00	GYPC;ID2;CXCR4;GLRX
MSigDB_Hallmark_2020	Interferon Alpha Response	2/97	1.820798e-01	4.855462e-01	0	0	2.630913e+00	4.481260e+00	PSME1;PSMB9
MSigDB_Hallmark_2020	Complement	3/200	2.156879e-01	4.930009e-01	0	0	1.905299e+00	2.922582e+00	GZMK;GZMA;PSMB9
MSigDB_Hallmark_2020	Xenobiotic Metabolism	3/200	2.156879e-01	4.930009e-01	0	0	1.905299e+00	2.922582e+00	MT2A;DDT;ID2
MSigDB_Hallmark_2020	TGF-beta Signaling	1/54	3.522915e-01	7.515551e-01	0	0	2.348048e+00	2.449710e+00	ID2
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1/74	4.486973e-01	8.010112e-01	0	0	1.703024e+00	1.364815e+00	FABP5
MSigDB_Hallmark_2020	G2-M Checkpoint	2/200	4.768118e-01	8.010112e-01	0	0	1.255722e+00	9.300295e-01	JPT1;MT2A
MSigDB_Hallmark_2020	Estrogen Response Late	2/200	4.768118e-01	8.010112e-01	0	0	1.255722e+00	9.300295e-01	FABP5;ID2
MSigDB_Hallmark_2020	Protein Secretion	1/96	5.383423e-01	8.010112e-01	0	0	1.307183e+00	8.094871e-01	SOD1
MSigDB_Hallmark_2020	Pperoxisome	1/104	5.672137e-01	8.010112e-01	0	0	1.205166e+00	6.833520e-01	SOD1
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	1/105	5.706941e-01	8.010112e-01	0	0	1.193517e+00	6.694461e-01	CXCR4
MSigDB_Hallmark_2020	Bile Acid Metabolism	1/112	5.942902e-01	8.010112e-01	0	0	1.117854e+00	5.817171e-01	SOD1
MSigDB_Hallmark_2020	Unfolded Protein Response	1/113	5.975541e-01	8.010112e-01	0	0	1.107817e+00	5.704263e-01	BANF1
MSigDB_Hallmark_2020	DNA Repair	1/150	7.016092e-01	8.010112e-01	0	0	8.311595e-01	2.945452e-01	POLR2K
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1/158	7.203195e-01	8.010112e-01	0	0	7.884870e-01	2.586714e-01	PSME1
MSigDB_Hallmark_2020	Apoptosis	1/161	7.270312e-01	8.010112e-01	0	0	7.735849e-01	2.466080e-01	SOD1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1/200	8.010112e-01	8.010112e-01	0	0	6.207452e-01	1.377312e-01	ID2
MSigDB_Hallmark_2020	Apical Junction	1/200	8.010112e-01	8.010112e-01	0	0	6.207452e-01	1.377312e-01	SKAP2
MSigDB_Hallmark_2020	E2F Targets	1/200	8.010112e-01	8.010112e-01	0	0	6.207452e-01	1.377312e-01	JPT1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	1/200	8.010112e-01	8.010112e-01	0	0	6.207452e-01	1.377312e-01	ID2
MSigDB_Hallmark_2020	heme Metabolism	1/200	8.010112e-01	8.010112e-01	0	0	6.207452e-01	1.377312e-01	GYPC
MSigDB_Hallmark_2020	KRAS Signaling Dn	1/200	8.010112e-01	8.010112e-01	0	0	6.207452e-01	1.377312e-01	IFNG
