Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	181/1183	3.110307e-18	1.366047e-14	0	0	2.221537e+00	8.955418e+01	ZNF296;CRTC2;CCNT2;CRTC3;CCNT1;MAML2;FHOD1;UBP1;RORA;AHR;NR3C1;DCAF6;ELK3;PSMD9;ZMIZ2;ZXDC;NFATC2IP;AKT1;EPC1;EP300;DPF3;KAT8;KAT7;RNF111;CDK5RAP2;MEF2A;MAP2K3;SMARCC1;SMARCC2;MAP2K2;FBXW11;PTOV1;WDR75;RUNX3;ILF3;KAT6B;DDIT3;KAT6A;HOXB4;ZNF711;PHIP;UBE2V1;MZF1;SQSTM1;SKAP1;KMT2E;BLM;CASZ1;NOTCH1;AKNA;KMT2A;DHX9;PRKDC;TNKS;KMT2C;XPC;PSEN1;HIF1A;RLF;SLC9A1;RAI1;DHX33;DHX36;INPP5K;TASP1;E4F1;TP53BP1;MAP2K7;BCL9L;BPTF;CREBBP;ZFHX3;SMAD4;JAG1;JUND;SMAD3;AUTS2;ZBTB16;ECD;SMARCA5;NFATC2;NR1D2;PBX4;INO80;TRERF1;NFKB1;NFKB2;SMAD7;SETX;DAB2;BAMBI;AGO1;AGO2;MAFF;BCL3;CREBRF;ATM;OGT;PICALM;RNF187;RNF10;CSRNP2;DDX3X;AKAP8L;CTCF;WASL;PKD1;MED12;IKBKB;PPP3CA;MED14;PPP3CB;MED13;SIN3A;ZNF407;MYBL1;KDM6B;SREBF1;DDX58;TCF12;TET2;NME2;AXIN1;SIRT7;ARID1A;ARID1B;TOX2;SFPQ;ELF2;TFDP1;MDFIC;IRF1;TRAF6;IRF7;PLCB1;MPND;TRIM56;HDAC4;NFAT5;CEBPB;KDM3A;NUFIP1;ATF6B;ZBTB48;HEATR1;NLRC5;MLLT3;ATAD2B;SCAF8;TP53INP2;TBX21;NSD1;NRIP1;ZNF746;VHL;BRD8;MEF2D;TRIM44;MLXIP;ZNF462;USP22;STAT3;FOXJ3;KLF4;HNRNPAB;MTOR;HIPK2;HINFP;SKI;ASXL1;PER1;KLF6;KLF5;NFIC;KANSL3;TAF6;NAA16;ZNF335;LPIN1;PAXBP1;LPIN2
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	95/496	6.383088e-16	1.401726e-12	0	0	2.841472e+00	9.941661e+01	GSK3B;SMG1;CCNT1;PRAG1;CCNH;TESK2;PIK3CD;PKD1;IKBKB;LIPE;STK11;PPP3CB;EEF2K;SIK1B;AKT1;NEK1;TLK1;ERC1;JAK2;JAK3;BRD2;CDKL3;CSNK1G3;CAMK1D;PRKCD;MINK1;ADAM10;LMTK2;PRKCA;PRPF4B;TYK2;OXSR1;BAZ1B;RUNX3;NRBP1;TGFBR2;ERN1;ZAP70;ILF3;LATS2;PEAK1;DGKQ;MAPKAPK2;CRY1;ULK2;SIK1;SIK2;CSNK1G2;CSNK1G1;USP15;ROCK1;CAB39;CTBP1;PRKDC;TNKS;PIK3R4;STK4;TTBK2;PAK1;GRK5;STK38;GRK6;MKNK2;MAPK1;RICTOR;CSK;MAP4K5;PAK2;MARK3;CDK17;LYN;CDK11A;NEK7;MAPK14;CDK11B;MTOR;HIPK2;SMAD7;MAPK13;TBCK;PINK1;SBK1;RPS6KB1;WNK1;STK17A;FES;STK17B;CDK10;MAP3K10;PKN2;PTPN6;ATM;CDK12;COQ8A;CDK13
GO_Biological_Process_2021	phosphorylation (GO:0016310)	79/400	3.438426e-14	5.033856e-11	0	0	2.933641e+00	9.094632e+01	GSK3B;PANK2;DGKD;CCNT1;CERK;PRAG1;TESK2;PIK3CD;PIK3CG;IKBKB;LIPE;STK11;PPP3CB;GNPTAB;SIK1B;AKT1;NEK1;TLK1;JAK2;JAK3;BRD2;CDKL3;PRKCD;MINK1;ADAM10;LMTK2;PRKCA;PRPF4B;TYK2;OXSR1;RUNX3;NRBP1;TGFBR2;ERN1;ZAP70;ILF3;LATS2;PEAK1;DGKQ;MAPKAPK2;SIK1;SIK2;CSNK1G2;ROCK1;CTBP1;PRKDC;PIK3R4;STK4;GK5;PAK1;GRK5;STK38;GRK6;MKNK2;MAPK1;CSK;MAP4K5;PAK2;MARK3;NADK;CDK17;LYN;CDK11A;STAT3;NEK7;CDK11B;MTOR;HIPK2;TBCK;PINK1;WNK1;STK17A;STK17B;CDK10;PKN2;ATM;CDK12;COQ8A;CDK13
GO_Biological_Process_2021	peptidyl-serine phosphorylation (GO:0018105)	43/156	2.628878e-13	2.886508e-10	0	0	4.481836e+00	1.298256e+02	GSK3B;SMG1;ROCK1;CAB39;PRKDC;TNKS;STK4;PKD1;TTBK2;IKBKB;STK38;MKNK2;AKT1;TLK1;MAPK1;RICTOR;MARK3;PAK2;CSNK1G3;MAP2K2;CAMK1D;PRKCD;LMTK2;PRKCA;MAPK14;MTOR;TGFBR2;HIPK2;MAPK13;ERN1;PINK1;LATS2;SBK1;RPS6KB1;WNK1;DGKQ;MAPKAPK2;ULK2;MAP3K10;ATM;PKN2;CSNK1G2;CSNK1G1
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	133/908	3.411673e-12	2.847427e-09	0	0	2.067918e+00	5.460093e+01	ZNF296;CRTC2;CCNT2;CRTC3;CCNT1;MAML2;FHOD1;UBP1;RORA;AHR;NR3C1;DCAF6;ELK3;ZMIZ2;NFATC2IP;EPC1;EP300;DPF3;KAT8;KAT7;RNF111;MEF2A;PTOV1;KAT6B;DDIT3;KAT6A;HOXB4;PHIP;MZF1;SQSTM1;SKAP1;CASZ1;PAXIP1;NOTCH1;AKNA;KMT2A;DHX9;PRKDC;TNKS;KMT2C;HIF1A;RLF;SLC9A1;DHX36;E4F1;TP53BP1;BCL9L;BPTF;CREBBP;ZFHX3;SMAD4;JAG1;JUND;SMAD3;AUTS2;ECD;SMARCA5;NR1D2;INO80;TRERF1;NFKB1;NFKB2;SMAD7;SETX;DAB2;AGO1;AGO2;MAFF;CREBRF;ATM;CDK12;CDK13;OGT;RNF10;CSRNP2;DDX3X;AKAP8L;WASL;PKD1;MED12;IKBKB;PPP3CA;MED14;PPP3CB;MED13;SIN3A;ZNF407;MYBL1;KDM6B;SREBF1;DDX58;TCF12;TET2;NME2;SIRT7;GNL3;TOX2;SFPQ;TFDP1;IRF1;TRAF6;IRF7;MPND;HDAC4;NFAT5;CEBPB;NUFIP1;ATF6B;NLRC5;ATAD2B;NRIP1;ZNF746;BRD8;MEF2D;MLXIP;ZNF462;STAT3;FOXJ3;KLF4;HIPK2;HINFP;SKI;ASXL1;PER1;KLF6;KLF5;NFIC;KANSL3;TAF6;ZNF335;LPIN1;PAXBP1;LPIN2
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	88/511	4.005428e-12	2.847427e-09	0	0	2.480589e+00	6.509902e+01	RNF10;RORA;CTCF;AHR;MED12;IKBKB;PSMD9;MED14;PPP3CB;MED13;ZXDC;AKT1;EPC1;KAT8;EP300;MYBL1;RNF111;CDK5RAP2;MAP2K3;SMARCC1;MAP2K2;SMARCC2;FBXW11;NME2;AXIN1;ARID1A;RUNX3;ARID1B;ILF3;ELF2;MDFIC;KAT6B;DDIT3;KAT6A;IRF1;IRF7;PHIP;ZNF711;UBE2V1;PLCB1;SKAP1;TRIM56;KMT2E;HDAC4;BLM;CEBPB;CASZ1;KDM3A;NOTCH1;KMT2A;ZBTB48;XPC;PSEN1;MLLT3;HIF1A;RLF;RAI1;NSD1;TP53INP2;TBX21;INPP5K;TASP1;TP53BP1;VHL;MAP2K7;TRIM44;CREBBP;SMAD4;ZFHX3;SMAD3;ZBTB16;USP22;STAT3;NFATC2;NR1D2;PBX4;KLF4;HNRNPAB;TRERF1;NFKB1;HIPK2;HINFP;KLF6;BAMBI;BCL3;NAA16;RNF187;PICALM
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	263/2206	4.538249e-12	2.847427e-09	0	0	1.671510e+00	4.365730e+01	RB1;ZNF296;MAML2;CCNH;ZNF292;IKZF3;BACH1;BACH2;ELK3;DCAF6;DCAF1;ZMIZ2;ZNF605;ZXDC;EPC1;KAT8;DPF3;KAT7;ZNF721;RNF111;MEF2A;HES6;SMARCC1;SMARCC2;IFRD1;PTOV1;ZNF10;RUNX3;DDIT3;HOXB4;EZR;SKAP1;ZSCAN29;ZNF276;URI1;CASZ1;DHX9;CTBP1;PRKDC;HTATSF1;RPAP2;HIF1A;RAD21;DHX36;ZNF700;TP53BP1;ZBTB7A;ZNF266;CREBBP;ZNF384;JAG1;JUND;ZNF141;SMARCA5;NFATC2;IRF2BP2;NR1D2;PBX4;INO80;TRERF1;PARP15;SETX;TADA2A;AGO1;AGO2;CREBRF;HBP1;ATM;CDK12;CDK13;RCOR1;CC2D1A;EZH2;CSRNP2;CDKN1A;ZNF131;ZNF43;CTCF;WASL;PHF6;MED12;IKBKB;PPP3CA;ZNF808;MED14;PPP3CB;MED13;ELOA;SREBF1;ZNF121;BRD2;ZHX2;TCF12;TET2;NME2;SIRT7;BAZ1B;ZFY;TOX2;ZEB1;SLTM;AEBP2;MPND;CTDP1;RELB;CUX1;NSD1;STAT4;ZNF107;BRD8;MEF2D;ZNF462;USP9X;STAT2;STAT3;WWP2;HIPK2;HINFP;SKI;PER1;NFIC;FOSB;ZNF217;ZNF335;CRTC2;CRTC3;CCNT2;RIF1;CCNT1;ZBTB25;FHOD1;UBP1;RORA;AHR;NR3C1;ZNF84;NFATC2IP;EP300;ZNF569;KDM2A;ZGPAT;PIAS2;HIC1;ZNF91;KAT6B;KAT6A;DGKQ;ERF;ZNF316;PHIP;MZF1;SQSTM1;HDGFL3;ZNF431;DDX5;ZNF791;NOTCH1;AKNA;KMT2A;TNKS;KMT2C;NOP2;PSEN1;RLF;SLC9A1;RAI1;TTC21B;NACC2;SAFB2;ZNF789;E4F1;SKIL;ZKSCAN1;BPTF;BCL9L;ZFHX3;SMAD4;SMAD3;AUTS2;ZBTB16;ECD;ZBTB10;NFKB1;NFKB2;SMAD7;DAB2;BCL6;SP4;MAFG;MAFF;MDM2;ZNF778;MDM4;MXD1;OGT;MXD4;CREBZF;KDM5B;RNF10;DDX3X;AKAP8L;PSIP1;CHD4;CHD3;CHD2;CHD1;PKD1;SIN3B;SIN3A;ZNF407;ZNF644;LRRFIP1;MYBL1;KDM6B;KLF13;DDX58;SAFB;ARID1A;ARID1B;ETV6;DUSP22;SFPQ;ELF2;TFDP1;IRF1;TRAF6;CRY1;IRF7;LCOR;MCPH1;HDAC4;NFAT5;CEBPB;KDM3A;NUFIP1;CEBPD;ATF6B;ZBTB48;NLRC5;ATAD2B;MTA1;TBX21;MXI1;NRIP1;ZNF746;VHL;MTA2;HES4;ZNF189;MLXIP;SPEN;FOXJ3;ATP2B4;MAPK14;KLF4;ASXL1;KLF6;KLF5;KANSL3;TAF6;LPIN1;PAXBP1;LPIN2
GO_Biological_Process_2021	peptidyl-serine modification (GO:0018209)	42/169	2.034242e-11	1.116799e-08	0	0	3.889551e+00	9.575418e+01	GSK3B;SMG1;ROCK1;CAB39;PRKDC;TNKS;STK4;PKD1;TTBK2;IKBKB;STK38;MKNK2;AKT1;TLK1;MAPK1;RICTOR;MARK3;PAK2;CSNK1G3;CAMK1D;GALNT2;PRKCD;LMTK2;PRKCA;MAPK14;MTOR;TGFBR2;HIPK2;MAPK13;PINK1;LATS2;SBK1;RPS6KB1;WNK1;DGKQ;MAPKAPK2;ULK2;MAP3K10;ATM;PKN2;CSNK1G2;CSNK1G1
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	262/2244	4.745268e-11	2.315691e-08	0	0	1.627301e+00	3.868304e+01	RB1;ZNF296;CCNH;TRRAP;ZNF292;IKZF3;BACH1;BACH2;ELK3;PSMD9;ZMIZ2;ZNF605;GPBP1;ZXDC;AKT1;EPC1;KAT8;DPF3;KAT7;ZNF721;RNF111;CDK5RAP2;MEF2A;HES6;SMARCC1;SMARCC2;SFMBT2;IFRD1;ZNF10;RUNX3;DDIT3;HOXB4;ZNF711;SKAP1;ZSCAN29;ZNF276;URI1;CASZ1;DHX9;CTBP1;BAZ2A;XPC;AKAP17A;HTATSF1;HIF1A;MBTD1;RAD21;DHX36;INPP5K;ZNF700;TP53BP1;ZBTB7A;ZNF266;CDK17;CREBBP;ZNF384;JUND;ZNF141;SMARCA5;NFATC2;IRF2BP2;NR1D2;PBX4;TRERF1;TADA2A;CREBRF;HBP1;RCOR1;CC2D1A;EZH2;CSRNP2;CDKN1A;ZNF131;ZNF43;CTCF;PHF6;MED12;IKBKB;ZNF808;GLI4;MED14;PPP3CB;MED13;SCML4;ELOA;SREBF1;ZNF121;BRD2;ZHX2;RING1;TCF12;NME2;BAZ1B;CBFA2T2;ZFY;TOX2;ZEB1;SLTM;AEBP2;MDFIC;PLCB1;SRRT;ZNF66;RELB;BTAF1;CUX1;NSD1;STAT4;ZNF107;GPBP1L1;MEF2D;SRSF10;STAT2;STAT3;WWP1;WWP2;HIPK2;HINFP;PER1;NFIC;FOSB;ZNF217;CCNT2;CCNT1;ZBTB25;UBP1;RORA;AHR;NR3C1;ZNF84;EP300;ZNF569;ZNF326;MAP2K3;MAP2K2;KDM2A;ZGPAT;FBXW11;PIAS2;HIC1;ZNF91;ILF3;KAT6B;KAT6A;DGKQ;ERF;ZNF316;PHIP;UBE2V1;MZF1;HDGFL3;ZNF431;KMT2E;KHDRBS1;BLM;DDX5;ZNF791;NOTCH1;KMT2A;NOP2;PSEN1;RLF;RAI1;TTC21B;NACC2;SAFB2;TASP1;ZNF789;E4F1;MAP2K7;ZKSCAN1;BPTF;ZFHX3;SMAD4;SMAD3;DENND4A;ZBTB16;ZBTB10;ZBTB11;NFKB1;NFKB2;SMAD7;GON4L;BCL6;BAMBI;SP4;MAFG;BCL3;MAFF;MDM2;MAP3K10;ZNF778;MDM4;MXD1;OGT;MXD4;PICALM;RNF187;CREBZF;KDM5B;RNF10;HP1BP3;CHD7;PSIP1;CHD4;CHD3;CHD2;CHD1;SIN3A;ZNF646;ZNF644;ERC1;LRRFIP1;MYBL1;KLF13;AXIN1;ACTR8;SAFB;ARID1A;ARID1B;ETV6;SFPQ;ELF2;TFDP1;IRF1;TRAF6;CRY1;IRF7;LCOR;TRIM56;HDAC4;USP13;NFAT5;CEBPB;KDM3A;CEBPD;ATF6B;ZNF195;ZBTB48;MLLT3;POLR2A;TBX21;TP53INP2;MXI1;ZNF746;VHL;TRIM44;HES4;ZNF189;MLXIP;SPEN;CDK11A;USP22;FOXJ3;ATP2B4;MAPK14;KLF4;HNRNPAB;CDK11B;KLF6;KLF5;NAA16
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	63/350	7.646284e-10	3.358248e-07	0	0	2.594196e+00	5.445641e+01	CDKN1A;RIF1;TRRAP;SMC6;BACH1;BABAM2;STK11;HELB;HERC2;PAXX;MTREX;VAV3;UPF1;SHPRH;PARP4;NSMCE3;SIRT7;BAZ1B;HIC1;RNF169;DDIT3;PSME4;MAPKAPK2;IRF7;CRY1;RTEL1;VCP;BLM;PRKDC;USP10;IGHMBP2;XIAP;XPC;PSEN1;SAMHD1;CRIP1;WRN;PAK1;UBR5;RBBP6;TP53BP1;ATRIP;MCL1;LYN;UVRAG;SLF1;INTS3;XRCC2;NFATC2;INO80;MAPK14;HINFP;SETX;CUL4A;RAD52;BCL6;APC;BCL3;BCL2;ATM;RAD1;UBA1;NRDE2
