Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	36/200	3.197904e-06	1.358508e-04	0	0	2.566604e+00	3.247528e+01	NFAT5;CDKN1A;CEBPB;CEBPD;TNFAIP3;SLC2A3;IFIT2;RELB;LDLR;MCL1;MAP2K3;KDM6B;DUSP5;JAG1;SMAD3;TIPARP;DDX58;ZBTB10;TRAF1;ATP2B1;KLF4;NFKB1;PNRC1;NFKB2;PER1;PTPRE;KLF6;BCL6;IRF1;MAFF;BCL3;FOSB;SIK1;IL6ST;MXD1;SQSTM1
MSigDB_Hallmark_2020	Mitotic Spindle	35/199	7.421484e-06	1.358508e-04	0	0	2.493711e+00	2.945355e+01	NUMA1;ROCK1;TUBGCP2;WASL;SMC4;ARHGAP4;ABR;AKAP13;RHOT2;CNTRL;NUSAP1;FLNA;CEP250;TLK1;CEP192;RICTOR;FLNB;KNTC1;KIFAP3;PCNT;CDK5RAP2;TBCD;MYO9B;KIF22;CCDC88A;ARHGAP10;NIN;APC;RASA1;TUBGCP6;MYH9;EZR;RAB3GAP1;ARL8A;PAFAH1B1
MSigDB_Hallmark_2020	G2-M Checkpoint	35/200	8.317399e-06	1.358508e-04	0	0	2.478462e+00	2.899097e+01	CCNT1;NUMA1;YTHDC1;ODC1;CUL1;CTCF;MKI67;SMC4;HIF1A;WRN;XPO1;CHAF1A;RAD21;NUSAP1;SRSF10;UPF1;TLE3;SMARCC1;SMAD3;ODF2;PRPF4B;KIF22;MAPK14;CUL4A;SQLE;SLC7A5;ILF3;SFPQ;DDX39A;TFDP1;UBE2S;BCL3;NUP98;EZH2;PAFAH1B1
MSigDB_Hallmark_2020	mTORC1 Signaling	34/200	2.092149e-05	2.273412e-04	0	0	2.391481e+00	2.576758e+01	IDI1;GSK3B;NUP205;CDKN1A;TOMM40;NUFIP1;INSIG1;ATP2A2;SLC2A3;SLC1A5;HMGCR;ADIPOR2;HSP90B1;LDLR;MAP2K3;HSPA5;HMGCS1;ELOVL5;HSPA4;TXNRD1;IFRD1;GSR;CYP51A1;ACSL3;SLC6A6;SQLE;SLC7A5;DDX39A;P4HA1;DDIT3;CANX;ETF1;SQSTM1;NFKBIB
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	22/105	2.319808e-05	2.273412e-04	0	0	3.085241e+00	3.292396e+01	MAP2K3;VAV3;GSK3B;CDKN1A;CAB39;MAPKAP1;STAT2;ITPR2;NOD1;PTPN11;HSP90B1;PPP2R1B;DDIT3;PRKAR2A;MKNK2;AKT1;MAPK1;PLCG1;RAC1;PLCB1;SQSTM1;NFKBIB
MSigDB_Hallmark_2020	UV Response Dn	24/144	4.388283e-04	3.583764e-03	0	0	2.326209e+00	1.798486e+01	SMAD3;YTHDC1;INSIG1;CELF2;NEK7;ATP2B4;PIK3CD;PRKCA;NR1D2;ATP2B1;NR3C1;ATP2C1;MAPK14;NFKB1;SMAD7;SYNE1;TGFBR2;DAB2;SCAF8;MTA1;GRK5;AGGF1;CDK13;LDLR
MSigDB_Hallmark_2020	Hypoxia	29/200	1.248038e-03	7.644231e-03	0	0	1.973290e+00	1.319378e+01	ERRFI1;CDKN1A;KDM3A;ZNF292;TNFAIP3;RORA;SLC2A3;NR3C1;NDST2;NOCT;MXI1;IDS;VHL;ATP7A;WSB1;HSPA5;TIPARP;SIAH2;PRKCA;B3GALT6;KLHL24;PNRC1;SLC6A6;KLF6;P4HA1;DDIT3;MAFF;BCL2;MYH9
MSigDB_Hallmark_2020	p53 Pathway	29/200	1.248038e-03	7.644231e-03	0	0	1.973290e+00	1.319378e+01	RB1;CSRNP2;CDKN1A;NOTCH1;NOL8;XPC;SLC3A2;CCND2;SESN1;MKNK2;KIF13B;UPP1;RALGDS;SLC19A2;TSPYL2;ZBTB16;RHBDF2;ELP1;WWP1;CGRRF1;KLF4;PTPRE;TRAF4;DDIT3;MDM2;ERCC5;COQ8A;MXD1;MXD4
MSigDB_Hallmark_2020	Apoptosis	24/161	2.166590e-03	1.179588e-02	0	0	2.035661e+00	1.248797e+01	CREBBP;CDKN1A;ROCK1;SLC20A1;GSR;PPP2R5B;XIAP;PSEN1;IGF2R;ADD1;SMAD7;DNAJC3;RHOT2;PAK1;CCND2;CASP8;ANKH;DDIT3;IRF1;MADD;ETF1;DNM1L;SQSTM1;MCL1
MSigDB_Hallmark_2020	heme Metabolism	28/200	2.534081e-03	1.241700e-02	0	0	1.892857e+00	1.131536e+01	USP15;CPOX;NR3C1;CLCN3;BACH1;ADD1;NUDT4;PSMD9;SEC14L1;RNF19A;MXI1;MARK3;RBM5;MAP2K3;RBM38;RIOK3;GLRX5;NEK7;PPP2R5B;FBXO34;GAPVD1;ELL2;SLC25A37;BLVRB;YPEL5;LPIN2;SIDT2;PICALM
