Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	response to unfolded protein (GO:0006986)	13/49	2.329110e-13	5.417509e-10	0	0	2.482955e+01	7.222448e+02	HSPA5;HSPA6;HSPB1;HSPE1;HERPUD1;HSPD1;DNAJA1;DNAJB1;HSPH1;BAG3;DDIT3;DNAJB4;SERPINH1
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	28/482	1.016692e-09	9.436685e-07	0	0	4.380220e+00	9.069995e+01	IL1RN;CDKN1A;CXCL8;CSF1;TCF7;CXCL1;PTGS2;HIF1A;CXCL2;ICAM1;SOCS3;ZC3H12A;CCL4;CCL3;HMOX1;ABL2;LGALS9;TIMP1;XBP1;ANXA1;CCL20;OSM;F3;MAPK13;IL1A;CXCL12;IRF1;VIM
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	32/621	1.217113e-09	9.436685e-07	0	0	3.888925e+00	7.982712e+01	IL1RN;CDKN1A;CXCL8;CSF1;IRS2;CXCL1;PTGS2;CXCL3;HIF1A;CXCL2;ICAM1;SOCS3;CCL4;CCL3;HMOX1;ABL2;TIMP1;ANXA1;ANXA2;CCL20;RIPK2;OSM;SOD2;F3;MID1;NFKBIA;IL1A;CXCL12;IFI27;IRF1;VIM;BIRC3
GO_Biological_Process_2021	positive regulation of angiogenesis (GO:0045766)	13/116	1.995624e-08	9.982944e-06	0	0	8.648720e+00	1.533394e+02	XBP1;CXCL8;S100A1;HSPB1;HIF1A;F3;DLL1;THBS1;HK2;IL1A;ZC3H12A;HMOX1;ANGPTL4
GO_Biological_Process_2021	negative regulation of apoptotic process (GO:0043066)	26/485	2.145947e-08	9.982944e-06	0	0	3.992530e+00	7.049651e+01	BCL2A1;HSPB1;DLL1;THBS1;HSPD1;BAG3;ZC3H12A;PIM3;APOE;XBP1;EGR3;ANXA1;HSPA5;RIPK2;PLAUR;SOD2;FABP1;NR4A2;NFKBIA;DNAJA1;KRT18;ANGPTL4;EVI2B;CRYAB;CPEB4;BIRC3
GO_Biological_Process_2021	positive regulation of cellular metabolic process (GO:0031325)	12/105	5.654582e-08	2.192093e-05	0	0	8.815556e+00	1.471159e+02	PDGFRB;NFKBIA;RAB1A;CDKN1A;CXCL8;CSF1;ANXA2;ZC3H12A;APOC1;NR1H3;APOE;THBS1
GO_Biological_Process_2021	inflammatory response (GO:0006954)	17/230	7.317247e-08	2.431417e-05	0	0	5.515533e+00	9.062267e+01	IL1RN;ANXA1;CXCL8;RIPK2;CCL20;PTGER2;ADM;CXCL1;LYZ;CXCL3;CXCL2;THBS1;IL1A;CCRL2;CCL4;CCL3;LGALS9
GO_Biological_Process_2021	cellular response to chemokine (GO:1990869)	9/60	2.506572e-07	7.287858e-05	0	0	1.195740e+01	1.817427e+02	CXCL8;CXCL12;CCL20;ZC3H12A;CCL4;CCL3;CXCL1;CXCL3;CXCL2
GO_Biological_Process_2021	positive regulation of vasculature development (GO:1904018)	11/102	3.698109e-07	9.557558e-05	0	0	8.230693e+00	1.218988e+02	IL1A;XBP1;CXCL8;ZC3H12A;HMOX1;HSPB1;ANGPTL4;HIF1A;F3;THBS1;HK2
GO_Biological_Process_2021	cellular response to decreased oxygen levels (GO:0036294)	9/69	8.542740e-07	1.893866e-04	0	0	1.015914e+01	1.419538e+02	FABP1;EPAS1;LMNA;HMOX1;PTGS2;NDRG1;HIF1A;CPEB2;CPEB4
GO_Biological_Process_2021	cellular response to heat (GO:0034605)	7/36	8.956374e-07	1.893866e-04	0	0	1.626169e+01	2.264559e+02	IL1A;BAG3;HSPA6;HSBP1L1;HMOX1;THBS1;IER5
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	20/381	1.328260e-06	2.485101e-04	0	0	3.840388e+00	5.196675e+01	XBP1;EGR3;ANXA1;HSPA5;BCL2A1;RIPK2;PLAUR;HSPB1;THBS1;HSPD1;FABP1;NFKBIA;DNAJA1;KRT18;BAG3;PIM3;ANGPTL4;EVI2B;CRYAB;BIRC3
GO_Biological_Process_2021	granulocyte chemotaxis (GO:0071621)	9/73	1.388921e-06	2.485101e-04	0	0	9.522252e+00	1.284265e+02	LGALS3;CXCL8;ANXA1;CCL20;CCL4;CCL3;CXCL1;CXCL3;CXCL2
GO_Biological_Process_2021	chemokine-mediated signaling pathway (GO:0070098)	8/56	1.731604e-06	2.876936e-04	0	0	1.125601e+01	1.493275e+02	CXCL8;CXCL12;CCL20;CCL4;CCL3;CXCL1;CXCL3;CXCL2
GO_Biological_Process_2021	cellular response to lipopolysaccharide (GO:0071222)	11/120	1.899209e-06	2.945039e-04	0	0	6.865189e+00	9.044250e+01	IL1A;XBP1;CXCL8;SELENOS;ZC3H12A;CCL3;NR1H3;CXCL1;VIM;CXCL3;CXCL2
GO_Biological_Process_2021	negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	8/64	4.865171e-06	7.072742e-04	0	0	9.644084e+00	1.179800e+02	DNAJA1;XBP1;CXCL12;SELENOS;PLAUR;HSPB1;SOD2;HERPUD1
GO_Biological_Process_2021	response to interleukin-1 (GO:0070555)	9/86	5.552500e-06	7.374518e-04	0	0	7.909360e+00	9.571323e+01	CXCL8;ANXA1;CCL20;ZC3H12A;CCL4;CCL3;LGALS9;HIF1A;MAPK13
GO_Biological_Process_2021	triglyceride homeostasis (GO:0070328)	6/31	5.706850e-06	7.374518e-04	0	0	1.611686e+01	1.945924e+02	CETP;XBP1;APOC2;NR1H3;APOE;ANGPTL4
