Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	51/200	1.971862e-48	9.464937e-47	0	0	2.698506e+01	2.964177e+03	CDKN1A;CSF1;TNFAIP2;IRS2;CXCL1;CXCL3;LITAF;CXCL2;ICAM1;ZC3H12A;NAMPT;CCRL2;IER5;PHLDA1;IER3;DUSP4;MAP2K3;TGIF1;KDM6B;DUSP2;RIPK2;PLAUR;F3;IL1A;IRF1;PLPP3;ATF3;BIRC3;PPP1R15A;BCL2A1;PTGS2;SOCS3;NFIL3;DNAJB4;CCL4;EGR3;TIPARP;CCL20;ZBTB10;SOD2;FOSL2;NFKB2;NR4A2;NFKBIA;PER1;RCAN1;NR4A1;NR4A3;ID2;MAFF;NFKBIE
MSigDB_Hallmark_2020	Apoptosis	23/161	2.969053e-16	7.125726e-15	0	0	1.181341e+01	4.223661e+02	PDGFRB;CDKN1A;EGR3;ANXA1;GPX3;HSPB1;EMP1;SOD2;TGFBR3;DNAJA1;LGALS3;IL1A;KRT18;FEZ1;DDIT3;IRF1;LMNA;HMOX1;ETF1;TIMP1;ATF3;IER3;BIRC3
MSigDB_Hallmark_2020	Hypoxia	24/200	3.748815e-15	4.498578e-14	0	0	9.681818e+00	3.216042e+02	PPP1R15A;ERRFI1;CDKN1A;ANXA2;HSPA5;TIPARP;SLC2A1;PLAUR;ADM;IRS2;F3;NDRG1;HK2;FOSL2;AKAP12;SELENBP1;NFIL3;DDIT3;MAFF;HMOX1;PLIN2;ANGPTL4;ATF3;IER3
MSigDB_Hallmark_2020	Inflammatory Response	24/200	3.748815e-15	4.498578e-14	0	0	9.681818e+00	3.216042e+02	CDKN1A;CXCL8;SLC31A2;CSF1;RIPK2;CCL20;PTGER2;RGS16;OSM;PLAUR;ICAM4;ADM;HIF1A;F3;ICAM1;NFKBIA;MARCO;IL1A;SELENOS;IRF1;NAMPT;CCRL2;KIF1B;TIMP1
MSigDB_Hallmark_2020	mTORC1 Signaling	22/200	3.313998e-13	3.181438e-12	0	0	8.711029e+00	2.503153e+02	MAP2K3;PPP1R15A;RAB1A;XBP1;CDKN1A;HSPA5;HMGCS1;SLC2A1;CACYBP;CFP;HSPE1;HK2;HSPD1;RIT1;NFIL3;SCD;DDIT3;PRDX1;NAMPT;SERPINH1;ETF1;GLA
MSigDB_Hallmark_2020	Complement	17/200	9.260201e-09	7.408161e-08	0	0	6.429601e+00	1.189318e+02	HSPA5;PLAUR;CXCL1;LIPA;PLA2G7;F3;CTSS;ATOX1;C2;LGALS3;PLSCR1;CTSL;IRF1;MAFF;APOC1;TIMP1;CTSD
MSigDB_Hallmark_2020	UV Response Up	14/158	1.145732e-07	7.856446e-07	0	0	6.671491e+00	1.066241e+02	GPX3;SOD2;CXCL2;ICAM1;NFKBIA;DNAJA1;NR4A1;DNAJB1;IRF1;HMOX1;FKBP4;SLC25A4;ATF3;ATP6V1C1
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	15/199	3.369441e-07	2.021665e-06	0	0	5.602323e+00	8.349338e+01	PRNP;XBP1;CSF1;S100A1;PTGER2;RGS16;EMP1;NDRG1;HK2;PLSCR1;NFIL3;MAFF;PLIN2;PHLDA1;SMPDL3A
MSigDB_Hallmark_2020	Cholesterol Homeostasis	9/74	1.560721e-06	8.323844e-06	0	0	9.375279e+00	1.253509e+02	ERRFI1;LGALS3;PLSCR1;HMGCS1;NFIL3;SCD;PLAUR;CPEB2;ATF3
MSigDB_Hallmark_2020	p53 Pathway	14/200	2.014705e-06	9.670584e-06	0	0	5.153933e+00	6.759403e+01	PPP1R15A;CDKN1A;RGS16;BAIAP2;NDRG1;TOB1;IL1A;DDIT3;HMOX1;FGF13;IER5;CTSD;ATF3;IER3
