Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	DNA repair (GO:0006281)	44/298	1.896970e-11	4.477689e-08	0	0	3.606334e+00	8.903382e+01	FEN1;VCP;BLM;UBXN1;PCNA;MRE11;RNASEH2A;BRCA1;UNG;RECQL4;HERC2;RECQL5;CHEK2;RAD21;NSD2;USP1;EXO5;KPNA2;PMS1;BARD1;FANCI;RFC5;RMI2;RFC4;PARP1;CENPX;LIG1;XRCC5;PARP2;FANCA;FANCB;BAZ1B;PARP9;SMC1A;DDB2;TRAIP;FAM111A;POLA1;FANCD2;RPA3;APEX1;CDK1;ERCC5;UBE2V1
GO_Biological_Process_2021	DNA replication (GO:0006260)	25/108	2.827716e-11	4.477689e-08	0	0	6.197240e+00	1.505246e+02	BLM;FEN1;MRE11;RNASEH2A;MCM7;MCM8;BRCA1;ING4;RECQL4;RECQL5;CDC45;CLSPN;BARD1;RFC5;RMI2;RFC4;CDC6;FAM111A;POLA1;RPA3;CDK1;MCM3;MCM4;CDK2AP1;MCM6
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	40/277	3.111166e-10	3.284354e-07	0	0	3.501319e+00	7.664686e+01	FEN1;DNMT1;VCP;BLM;PCNA;MRE11;RNASEH2A;MCM7;UHRF2;MCM8;PRIM1;GMNN;BRCA1;SAMHD1;UNG;RECQL4;RECQL5;CDC45;RAD21;KPNA2;BARD1;RFC5;RMI2;RFC4;PARP1;LIG1;XRCC5;PARP2;FANCA;CDC6;SMC1A;DDB2;POLA1;RPA3;APEX1;CDK1;MCM3;MCM4;ERCC5;MCM6
GO_Biological_Process_2021	double-strand break repair (GO:0006302)	28/164	3.389606e-09	2.093362e-06	0	0	4.237950e+00	8.265085e+01	VCP;BLM;FEN1;MRE11;UBXN1;MCM8;BRCA1;SAMHD1;RECQL4;HERC2;RECQL5;PAXX;CHEK2;RAD21;NSD2;KPNA2;BARD1;PARP1;XRCC5;PARP2;BAZ1B;PARP9;SPIDR;IFFO1;POLA1;RPA3;ERCC5;AUNIP
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	44/350	3.548313e-09	2.093362e-06	0	0	2.985213e+00	5.808267e+01	FEN1;VCP;BLM;MRE11;MCM7;MCM8;SUV39H1;PHF1;BOD1L1;BRCA1;SAMHD1;CRIP1;UNG;RECQL4;PIDD1;PAK1;HERC2;RECQL5;PAXX;CHEK2;SFN;BARD1;RFC5;SHPRH;RMI2;RFC4;PARP1;LIG1;XRCC5;PARP2;DDX11;FANCA;BAZ1B;MASTL;SMC1A;SPIDR;WDR76;DDB2;TRAIP;FAM111A;POLA1;APEX1;CDK1;MNDA
GO_Biological_Process_2021	double-strand break repair via homologous recombination (GO:0000724)	21/97	3.965953e-09	2.093362e-06	0	0	5.662683e+00	1.095476e+02	GINS2;BLM;FEN1;MRE11;MCM7;PARP1;MCM8;FANCB;BRCA1;SAMHD1;SPIDR;RECQL4;RECQL5;CDC45;RAD21;RPA3;MCM3;MCM4;ERCC5;AUNIP;MCM6
GO_Biological_Process_2021	DNA strand elongation involved in DNA replication (GO:0006271)	9/18	3.806198e-08	1.722033e-05	0	0	2.030277e+01	3.468536e+02	GINS1;GINS2;POLA1;PCNA;RFC4;LIG1;MCM7;MCM3;MCM4
GO_Biological_Process_2021	mitotic DNA replication (GO:1902969)	7/10	5.526728e-08	2.187893e-05	0	0	4.728723e+01	7.902210e+02	GINS1;POLA1;CDC45;LIG1;MCM3;MCM4;MCM6
GO_Biological_Process_2021	DNA-dependent DNA replication (GO:0006261)	21/129	6.925840e-07	2.224223e-04	0	0	3.978132e+00	5.642119e+01	RFC5;GINS1;GINS2;BLM;RFC4;MCM7;MCM8;PRIM1;GMNN;HMGA1;CDC6;RECQL4;POLA1;RECQL5;CDC45;PSMC4;RPA3;MCM3;MCM4;CDK2AP1;MCM6
GO_Biological_Process_2021	DNA strand elongation (GO:0022616)	8/18	7.023122e-07	2.224223e-04	0	0	1.622407e+01	2.298770e+02	GINS1;GINS2;POLA1;RFC4;MRE11;MCM7;MCM3;MCM4
GO_Biological_Process_2021	DNA replication initiation (GO:0006270)	11/38	9.380759e-07	2.700806e-04	0	0	8.281339e+00	1.149403e+02	POLA1;CDC45;MCM7;MCM8;PRIM1;RPA3;GMNN;MCM3;MCM4;CDC6;MCM6
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	23/157	1.406962e-06	3.713206e-04	0	0	3.514384e+00	4.735309e+01	OFD1;VCP;ZWILCH;NDE1;BUB1B;SMC1A;CKAP5;DSN1;CENPH;NUP85;KIFC1;INCENP;PRC1;CHEK2;CENPK;BIRC5;CENPM;CENPN;CENPO;PIBF1;CENPQ;CCDC61;SPC25
GO_Biological_Process_2021	mitotic chromosome condensation (GO:0007076)	9/27	2.493880e-06	6.075474e-04	0	0	1.014659e+01	1.309079e+02	NCAPG2;NUSAP1;CDK1;NCAPD2;NCAPD3;SMC4;NCAPH;SMC2;MCPH1
GO_Biological_Process_2021	DNA unwinding involved in DNA replication (GO:0006268)	7/16	4.098932e-06	9.272369e-04	0	0	1.575745e+01	1.954677e+02	RECQL4;BLM;RECQL5;MCM7;HMGA1;MCM4;MCM6
GO_Biological_Process_2021	mitotic sister chromatid segregation (GO:0000070)	17/102	5.644206e-06	1.157916e-03	0	0	4.079140e+00	4.929592e+01	NCAPG2;SMC1A;SMC4;NCAPH;SMC2;DSN1;KIFC1;PRC1;RAD21;POGZ;CENPK;NUSAP1;CDK1;NCAPD2;NCAPD3;PIBF1;MCPH1
GO_Biological_Process_2021	centromere complex assembly (GO:0034508)	10/37	5.849905e-06	1.157916e-03	0	0	7.520455e+00	9.061461e+01	MIS18A;CENPX;NASP;CENPH;POGZ;CENPK;CENPM;CENPN;CENPO;CENPQ
GO_Biological_Process_2021	CENP-A containing chromatin organization (GO:0061641)	9/30	6.695876e-06	1.178102e-03	0	0	8.695705e+00	1.036008e+02	MIS18A;CENPX;NASP;CENPH;CENPK;CENPM;CENPN;CENPO;CENPQ
GO_Biological_Process_2021	CENP-A containing nucleosome assembly (GO:0034080)	9/30	6.695876e-06	1.178102e-03	0	0	8.695705e+00	1.036008e+02	MIS18A;CENPX;NASP;CENPH;CENPK;CENPM;CENPN;CENPO;CENPQ
GO_Biological_Process_2021	histone exchange (GO:0043486)	10/38	7.604145e-06	1.267491e-03	0	0	7.251487e+00	8.547195e+01	MIS18A;CENPX;NASP;CENPH;CENPK;ANP32E;CENPM;CENPN;CENPO;CENPQ
GO_Biological_Process_2021	double-strand break repair via break-induced replication (GO:0000727)	6/12	8.015466e-06	1.269249e-03	0	0	2.024123e+01	2.375134e+02	GINS2;CDC45;MCM7;MCM3;MCM4;MCM6
GO_Biological_Process_2021	DNA replication-independent nucleosome assembly (GO:0006336)	10/39	9.794912e-06	1.477166e-03	0	0	7.001067e+00	8.074784e+01	MIS18A;CENPX;NASP;CENPH;CENPK;CENPM;CENPN;CENPO;CENPQ;CABIN1
GO_Biological_Process_2021	chromatin remodeling at centromere (GO:0031055)	9/32	1.205177e-05	1.734907e-03	0	0	7.938723e+00	8.991635e+01	MIS18A;CENPX;NASP;CENPH;CENPK;CENPM;CENPN;CENPO;CENPQ
GO_Biological_Process_2021	DNA duplex unwinding (GO:0032508)	11/51	2.111230e-05	2.907072e-03	0	0	5.586084e+00	6.013786e+01	RECQL4;BLM;MRE11;RECQL5;MCM7;PARP1;DDX11;HMGA1;MCM4;MCM6;DDB2
GO_Biological_Process_2021	base-excision repair, gap-filling (GO:0006287)	9/35	2.669178e-05	3.522203e-03	0	0	7.021609e+00	7.394565e+01	RFC5;FEN1;PCNA;RFC4;LIG1;PARP1;RPA3;APEX1;UNG
GO_Biological_Process_2021	chromosome condensation (GO:0030261)	10/45	3.796621e-05	4.703732e-03	0	0	5.799055e+00	5.902750e+01	INCENP;NCAPG2;NUSAP1;CDK1;NCAPD2;NCAPD3;SMC4;NCAPH;SMC2;MCPH1
GO_Biological_Process_2021	mitotic nuclear division (GO:0140014)	13/74	3.954864e-05	4.703732e-03	0	0	4.333485e+00	4.393279e+01	OFD1;NDE1;NCAPG2;SMC1A;SMC4;EPS8;DSN1;KIFC1;CHEK2;CENPK;NUSAP1;PIBF1;CCDC61
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	32/314	4.010129e-05	4.703732e-03	0	0	2.327915e+00	2.356805e+01	RPL5;HBS1L;FEN1;BLM;MRE11;RNASEH2A;MCM7;MCM8;BRCA1;ING4;RECQL4;EEF1B2;RECQL5;CDC45;CLSPN;MEF2A;BARD1;RFC5;RMI2;RFC4;PABPC4;RPS5;CDC6;EEF1G;FAM111A;POLA1;MRPL51;RPA3;CDK1;MCM3;MCM4;MCM6
GO_Biological_Process_2021	replication fork processing (GO:0031297)	9/39	6.755721e-05	7.473010e-03	0	0	6.084115e+00	5.842293e+01	FAM111A;BLM;MRE11;PCNA;CENPX;DDX11;BOD1L1;SAMHD1;TRAIP
GO_Biological_Process_2021	base-excision repair (GO:0006284)	10/48	6.842984e-05	7.473010e-03	0	0	5.340392e+00	5.121277e+01	RFC5;FEN1;PCNA;RFC4;LIG1;PARP1;RPA3;APEX1;ERCC5;UNG
GO_Biological_Process_2021	recombinational repair (GO:0000725)	13/79	8.016003e-05	8.462227e-03	0	0	4.004137e+00	3.776496e+01	FEN1;BLM;MRE11;PARP1;MCM8;BRCA1;SAMHD1;SPIDR;RECQL4;RECQL5;RPA3;ERCC5;AUNIP
GO_Biological_Process_2021	protein auto-ADP-ribosylation (GO:0070213)	5/12	1.411233e-04	1.441734e-02	0	0	1.444192e+01	1.280403e+02	PARP10;PARP6;PARP1;PARP2;PARP8
GO_Biological_Process_2021	regulation of cell cycle G2/M phase transition (GO:1902749)	13/85	1.727109e-04	1.709298e-02	0	0	3.669299e+00	3.179041e+01	OFD1;ATAD5;TUBB;NDE1;CEP152;HAUS5;HMMR;CKAP5;PCM1;TUBA1A;CNTRL;CDK1;GTSE1
GO_Biological_Process_2021	interstrand cross-link repair (GO:0036297)	10/55	2.266941e-04	2.175576e-02	0	0	4.508004e+00	3.783076e+01	FANCI;VCP;CENPX;MCM8;FANCD2;RPA3;USP1;FANCA;EXO5;FANCB
GO_Biological_Process_2021	pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	4/8	2.999817e-04	2.794242e-02	0	0	2.020042e+01	1.638616e+02	MCM7;MCM3;MCM4;MCM6
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	16/128	3.626737e-04	3.281679e-02	0	0	2.906399e+00	2.302451e+01	ZWILCH;NDE1;BUB1B;CKAP5;DSN1;CENPH;NUP85;INCENP;CENPK;NUSAP1;BIRC5;CENPM;CENPN;CENPO;CENPQ;SPC25
GO_Biological_Process_2021	positive regulation of chromosome organization (GO:2001252)	5/15	4.750559e-04	4.179172e-02	0	0	1.010775e+01	7.734529e+01	FEN1;MRE11;PPP1R10;DDX11;RAD21
GO_Biological_Process_2021	protein poly-ADP-ribosylation (GO:0070212)	4/10	8.338022e-04	7.136896e-02	0	0	1.346554e+01	9.546411e+01	PARP10;PARP1;PARP2;PARP9
GO_Biological_Process_2021	sister chromatid segregation (GO:0000819)	7/34	9.133506e-04	7.612056e-02	0	0	5.247518e+00	3.672418e+01	DSN1;KIFC1;NCAPG2;CENPK;NUSAP1;SMC1A;SMC4
GO_Biological_Process_2021	positive regulation of deoxyribonuclease activity (GO:0032077)	3/5	9.848404e-04	7.997409e-02	0	0	3.027172e+01	2.095720e+02	PCNA;DDX11;PRKCD
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	9/56	1.175230e-03	9.304882e-02	0	0	3.880007e+00	2.617566e+01	RBL2;PIDD1;PCNA;CHEK2;CDK1;SFN;MDM4;GTSE1;E2F8
GO_Biological_Process_2021	nuclear DNA replication (GO:0033260)	4/11	1.261314e-03	9.721088e-02	0	0	1.154128e+01	7.704500e+01	MCM7;MCM3;MCM4;MCM6
GO_Biological_Process_2021	postreplication repair (GO:0006301)	8/46	1.289187e-03	9.721088e-02	0	0	4.263214e+00	2.836633e+01	RFC5;PARP10;VCP;PCNA;RFC4;RPA3;BRCA1;UBE2V1
GO_Biological_Process_2021	telomere organization (GO:0032200)	8/47	1.490200e-03	1.087297e-01	0	0	4.153682e+00	2.703567e+01	RECQL4;BLM;MRE11;PCNA;PARP1;XRCC5;RPA3;APEX1
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	19/188	1.543238e-03	1.087297e-01	0	0	2.287773e+00	1.481075e+01	KLHL18;OFD1;TUBB;NDE1;CEP152;BUB1B;HMMR;CDC6;HAUS5;PKD1;CKAP5;ZFP36L2;PCM1;TUBA1A;PSMC4;CNTRL;CDK1;ANAPC5;FBXO5
GO_Biological_Process_2021	nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)	7/37	1.544944e-03	1.087297e-01	0	0	4.722021e+00	3.056455e+01	RFC5;PCNA;RFC4;PARP1;RPA3;ERCC5;DDB2
GO_Biological_Process_2021	protein mono-ADP-ribosylation (GO:0140289)	4/12	1.821412e-03	1.228207e-01	0	0	1.009809e+01	6.370021e+01	PARP10;PARP6;PARP9;PARP8
GO_Biological_Process_2021	mitotic DNA replication initiation (GO:1902975)	3/6	1.900288e-03	1.228207e-01	0	0	2.018008e+01	1.264434e+02	POLA1;MCM3;MCM4
GO_Biological_Process_2021	nuclear cell cycle DNA replication initiation (GO:1902315)	3/6	1.900288e-03	1.228207e-01	0	0	2.018008e+01	1.264434e+02	POLA1;MCM3;MCM4
GO_Biological_Process_2021	protein-DNA covalent cross-linking repair (GO:0106300)	3/6	1.900288e-03	1.228207e-01	0	0	2.018008e+01	1.264434e+02	FAM111A;VCP;TRAIP
GO_Biological_Process_2021	spindle assembly (GO:0051225)	11/84	1.989359e-03	1.260060e-01	0	0	3.055556e+00	1.900538e+01	OFD1;KIFC1;TUBGCP2;CHEK2;TUBGCP6;HAUS5;SMC1A;PIBF1;GOLGA8A;SAC3D1;CCDC61
GO_Biological_Process_2021	protein ADP-ribosylation (GO:0006471)	6/29	2.064550e-03	1.282045e-01	0	0	5.275609e+00	3.261826e+01	PARP10;PARP6;PARP1;PARP2;PARP9;PARP8
GO_Biological_Process_2021	nucleotide-excision repair, DNA incision (GO:0033683)	7/39	2.126068e-03	1.294857e-01	0	0	4.426430e+00	2.723795e+01	RFC5;PCNA;RFC4;PARP1;RPA3;ERCC5;DDB2
GO_Biological_Process_2021	double-strand break repair via nonhomologous end joining (GO:0006303)	9/62	2.444606e-03	1.427426e-01	0	0	3.439675e+00	2.068576e+01	BARD1;POLA1;MRE11;HERC2;PAXX;XRCC5;NSD2;BRCA1;IFFO1
GO_Biological_Process_2021	positive regulation of double-strand break repair (GO:2000781)	7/40	2.473488e-03	1.427426e-01	0	0	4.292070e+00	2.576154e+01	PARP1;FUS;DDX11;FANCB;ARID2;PARP9;SPIDR
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator (GO:0030330)	10/74	2.478952e-03	1.427426e-01	0	0	3.166522e+00	1.899888e+01	ING4;RBL2;PIDD1;PCNA;CHEK2;CDK1;SFN;MDM4;GTSE1;E2F8
GO_Biological_Process_2021	negative regulation of cellular senescence (GO:2000773)	4/13	2.532977e-03	1.432489e-01	0	0	8.975610e+00	5.365942e+01	MAP3K3;RBL1;CDK6;FBXO5
GO_Biological_Process_2021	nucleic acid phosphodiester bond hydrolysis (GO:0090305)	10/75	2.741664e-03	1.523307e-01	0	0	3.117642e+00	1.839156e+01	RFC5;FEN1;MRE11;RFC4;PCNA;PARP1;RPA3;ERCC5;RNASE1;DDB2
GO_Biological_Process_2021	error-free translesion synthesis (GO:0070987)	5/22	3.161318e-03	1.710652e-01	0	0	5.943549e+00	3.421562e+01	RFC5;VCP;PCNA;RFC4;RPA3
GO_Biological_Process_2021	photoreceptor cell differentiation (GO:0046530)	3/7	3.208630e-03	1.710652e-01	0	0	1.513427e+01	8.689963e+01	AGTPBP1;ARL3;STAT3
GO_Biological_Process_2021	protein-DNA complex assembly (GO:0065004)	15/143	3.240895e-03	1.710652e-01	0	0	2.379585e+00	1.363956e+01	MCM7;PARP1;CCNH;MCM8;GMNN;CDC6;DDB2;NAP1L4;PSMC4;RPA3;MCM3;MCM4;ERCC5;ANP32B;MCM6
GO_Biological_Process_2021	mitotic G1 DNA damage checkpoint signaling (GO:0031571)	9/65	3.396307e-03	1.727265e-01	0	0	3.254893e+00	1.850428e+01	RBL2;PIDD1;PCNA;CHEK2;CDK1;SFN;MDM4;GTSE1;E2F8
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	14/130	3.444107e-03	1.727265e-01	0	0	2.449625e+00	1.389204e+01	OFD1;CCNH;TUBB;NDE1;CEP152;HAUS5;MASTL;CKAP5;PCM1;TUBA1A;CHEK2;CNTRL;CDK1;FBXL3
GO_Biological_Process_2021	plasma membrane bounded cell projection assembly (GO:0120031)	24/278	3.457363e-03	1.727265e-01	0	0	1.924467e+00	1.090644e+01	OFD1;P2RY12;GSN;ARL3;IFT80;FNBP1L;TTC39C;PKD1;HSPB11;MTSS1;TTBK2;WDR11;P2RX7;SHTN1;CCDC88A;PCM1;IFT81;RAC1;WHAMM;DISC1;SRGAP2;RAPGEF6;PIBF1;MAP4K4
GO_Biological_Process_2021	regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	6/32	3.490527e-03	1.727265e-01	0	0	4.666149e+00	2.639968e+01	POLA1;PCNA;CDC45;RRM2;FBXO5;CDC6
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	14/131	3.692811e-03	1.787258e-01	0	0	2.428560e+00	1.360325e+01	OFD1;CCNH;TUBB;NDE1;CEP152;HAUS5;MASTL;CKAP5;PCM1;TUBA1A;CHEK2;CNTRL;CDK1;FBXL3
GO_Biological_Process_2021	DNA synthesis involved in DNA repair (GO:0000731)	7/43	3.781064e-03	1.787258e-01	0	0	3.933777e+00	2.194162e+01	RFC5;PARP10;POLA1;VCP;PCNA;RFC4;RPA3
GO_Biological_Process_2021	DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	7/43	3.781064e-03	1.787258e-01	0	0	3.933777e+00	2.194162e+01	FAM111A;BLM;PCNA;CENPX;DDX11;BOD1L1;TRAIP
GO_Biological_Process_2021	mitotic G2 DNA damage checkpoint signaling (GO:0007095)	6/33	4.098239e-03	1.908695e-01	0	0	4.493092e+00	2.469942e+01	BLM;MRE11;CDK1;BRCA1;CLSPN;FOXN3
GO_Biological_Process_2021	mitotic spindle assembly (GO:0090307)	7/44	4.316318e-03	1.971906e-01	0	0	3.827257e+00	2.084076e+01	OFD1;PRC1;KIFC1;CHEK2;SMC1A;PIBF1;CCDC61
GO_Biological_Process_2021	small GTPase mediated signal transduction (GO:0007264)	12/106	4.358490e-03	1.971906e-01	0	0	2.588554e+00	1.407042e+01	ARHGAP33;SHTN1;CCDC88A;DNMT1;ARL3;TNK2;NF1;ARHGAP18;RAC1;RGL2;RAPGEF6;PLD2
GO_Biological_Process_2021	mRNA methylation (GO:0080009)	4/15	4.483216e-03	1.971992e-01	0	0	7.342909e+00	3.970616e+01	TRMT10C;NSUN2;CMTR1;TRMT61B
GO_Biological_Process_2021	positive regulation of double-strand break repair via homologous recombination (GO:1905168)	4/15	4.483216e-03	1.971992e-01	0	0	7.342909e+00	3.970616e+01	PARP1;FUS;FANCB;ARID2
GO_Biological_Process_2021	telomere maintenance (GO:0000723)	8/56	4.631902e-03	1.992190e-01	0	0	3.373269e+00	1.813061e+01	RECQL4;BLM;MRE11;PCNA;PARP1;XRCC5;RPA3;APEX1
GO_Biological_Process_2021	nucleotide-excision repair, DNA gap filling (GO:0006297)	5/24	4.717847e-03	1.992190e-01	0	0	5.317354e+00	2.848189e+01	RFC5;PCNA;RFC4;LIG1;RPA3
GO_Biological_Process_2021	peptidyl-glutamic acid modification (GO:0018200)	5/24	4.717847e-03	1.992190e-01	0	0	5.317354e+00	2.848189e+01	VKORC1L1;AGTPBP1;PARP1;TTLL1;TPGS1
GO_Biological_Process_2021	mitotic G2/M transition checkpoint (GO:0044818)	7/45	4.906893e-03	2.011381e-01	0	0	3.726344e+00	1.981340e+01	BLM;MRE11;CDK1;BRCA1;CLSPN;CDC6;FOXN3
GO_Biological_Process_2021	negative regulation of glial cell apoptotic process (GO:0034351)	3/8	4.953827e-03	2.011381e-01	0	0	1.210678e+01	6.425788e+01	PRKCH;PRKCD;GAS6
GO_Biological_Process_2021	SREBP signaling pathway (GO:0032933)	3/8	4.953827e-03	2.011381e-01	0	0	1.210678e+01	6.425788e+01	ARHGEF10L;ERLIN2;SREBF2
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	19/209	5.045169e-03	2.022538e-01	0	0	2.032651e+00	1.075135e+01	OFD1;CCNI;CCNH;TUBB;NDE1;CEP152;CCNF;HAUS5;MASTL;CKAP5;EPS8;PCM1;TUBA1A;CDK6;NASP;CHEK2;CNTRL;CDK1;FBXL3
GO_Biological_Process_2021	ciliary basal body-plasma membrane docking (GO:0097711)	11/95	5.232730e-03	2.071507e-01	0	0	2.653884e+00	1.394038e+01	OFD1;PCM1;TUBA1A;TUBB;NDE1;CEP152;CNTRL;CDK1;HAUS5;CKAP5;TTBK2
GO_Biological_Process_2021	regulation of DNA metabolic process (GO:0051052)	7/46	5.556227e-03	2.144704e-01	0	0	3.630606e+00	1.885314e+01	XRCC5;USP1;UBE2V1;KPNA2;IL7R;MPHOSPH8;SMG6
GO_Biological_Process_2021	regulation of double-strand break repair via homologous recombination (GO:0010569)	7/46	5.556227e-03	2.144704e-01	0	0	3.630606e+00	1.885314e+01	RMI2;PARP1;FUS;FIGNL1;FANCB;ARID2;SPIDR
GO_Biological_Process_2021	negative regulation of sequestering of calcium ion (GO:0051283)	5/25	5.671134e-03	2.144704e-01	0	0	5.051221e+00	2.612676e+01	RYR1;TRPM2;LCK;XCL1;CHERP
GO_Biological_Process_2021	nucleotide catabolic process (GO:0009166)	4/16	5.756232e-03	2.144704e-01	0	0	6.730647e+00	3.471312e+01	NT5C;VCP;SAMHD1;NUDT3
GO_Biological_Process_2021	regulation of chromatin silencing (GO:0031935)	4/16	5.756232e-03	2.144704e-01	0	0	6.730647e+00	3.471312e+01	CDC45;ATAD2;HMGA1;ATAD2B
GO_Biological_Process_2021	positive regulation of cellular protein localization (GO:1903829)	9/71	6.155220e-03	2.266696e-01	0	0	2.938974e+00	1.496072e+01	RIC3;CCDC88A;TRAPPC12;CDK1;ABCA7;GPD1L;PARP9;GTSE1;CENPQ
GO_Biological_Process_2021	mitotic DNA damage checkpoint signaling (GO:0044773)	8/59	6.387008e-03	2.325018e-01	0	0	3.174341e+00	1.604150e+01	BLM;MRE11;FANCD2;CHEK2;CDK1;BRCA1;CLSPN;FOXN3
GO_Biological_Process_2021	DNA geometric change (GO:0032392)	5/26	6.752482e-03	2.342639e-01	0	0	4.810434e+00	2.404180e+01	RECQL4;BLM;MRE11;RECQL5;DDX11
GO_Biological_Process_2021	lamellipodium assembly (GO:0030032)	5/26	6.752482e-03	2.342639e-01	0	0	4.810434e+00	2.404180e+01	P2RY12;CCDC88A;WHAMM;RAC1;SRGAP2
GO_Biological_Process_2021	cellular response to interleukin-9 (GO:0071355)	3/9	7.170885e-03	2.342639e-01	0	0	1.008845e+01	4.981402e+01	STAT5A;STAT3;JAK1
GO_Biological_Process_2021	cellular response to sterol depletion (GO:0071501)	3/9	7.170885e-03	2.342639e-01	0	0	1.008845e+01	4.981402e+01	ARHGEF10L;ERLIN2;SREBF2
GO_Biological_Process_2021	histone phosphorylation (GO:0016572)	3/9	7.170885e-03	2.342639e-01	0	0	1.008845e+01	4.981402e+01	INCENP;PRKCD;BAZ1B
GO_Biological_Process_2021	interleukin-9-mediated signaling pathway (GO:0038113)	3/9	7.170885e-03	2.342639e-01	0	0	1.008845e+01	4.981402e+01	STAT5A;STAT3;JAK1
GO_Biological_Process_2021	positive regulation of chromatin binding (GO:0035563)	3/9	7.170885e-03	2.342639e-01	0	0	1.008845e+01	4.981402e+01	DDX11;GMNN;PARP9
GO_Biological_Process_2021	positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	3/9	7.170885e-03	2.342639e-01	0	0	1.008845e+01	4.981402e+01	RFC5;PCNA;RFC4
GO_Biological_Process_2021	regulation of DNA-directed DNA polymerase activity (GO:1900262)	3/9	7.170885e-03	2.342639e-01	0	0	1.008845e+01	4.981402e+01	RFC5;PCNA;RFC4
GO_Biological_Process_2021	negative regulation of cell aging (GO:0090344)	4/17	7.249089e-03	2.342639e-01	0	0	6.212579e+00	3.060863e+01	MAP3K3;RBL1;CDK6;FBXO5
GO_Biological_Process_2021	positive regulation of transcription of Notch receptor target (GO:0007221)	4/17	7.249089e-03	2.342639e-01	0	0	6.212579e+00	3.060863e+01	PLXND1;MAML2;MAML3;RBPJ
GO_Biological_Process_2021	phagocytosis, engulfment (GO:0006911)	6/37	7.328635e-03	2.344423e-01	0	0	3.912516e+00	1.923379e+01	ITGAM;GSN;ELMO1;RAC1;FCGR1A;FCGR2B
GO_Biological_Process_2021	chromatin organization (GO:0006325)	14/142	7.520252e-03	2.381664e-01	0	0	2.218566e+00	1.084913e+01	SMARCC2;DDX11;SUV39H1;PHF1;HP1BP3;BAZ2B;BAZ1B;HCFC1;TAF6L;PAK1;TADA2A;HIRIP3;GATAD1;FAM50A
GO_Biological_Process_2021	release of sequestered calcium ion into cytosol (GO:0051209)	5/27	7.970168e-03	2.499161e-01	0	0	4.591536e+00	2.218653e+01	RYR1;TRPM2;LCK;XCL1;CHERP
GO_Biological_Process_2021	dendritic cell migration (GO:0036336)	4/18	8.976301e-03	2.787054e-01	0	0	5.768520e+00	2.718800e+01	EPS8;TRPM2;PIK3CG;CCR2
GO_Biological_Process_2021	cellular response to hydroxyurea (GO:0072711)	3/10	9.886787e-03	3.010717e-01	0	0	8.646792e+00	3.991840e+01	BLM;DDX11;SPIDR
GO_Biological_Process_2021	immunoglobulin mediated immune response (GO:0016064)	3/10	9.886787e-03	3.010717e-01	0	0	8.646792e+00	3.991840e+01	CARD9;CD27;FCGR2B
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	32/437	9.982107e-03	3.010794e-01	0	0	1.610298e+00	7.418578e+00	RPL5;BLM;MRE11;ARHGAP19;ARHGAP18;BRCA1;CHD3;ARHGAP5;ARHGAP4;ARHGAP22;PIDD1;PAK1;SPRED1;CHEK2;GPAT3;RAC1;SRGAP2;ECT2;PAK2;MAP4K4;BARD1;RFC5;RMI2;RFC4;TAF15;PLEKHG5;PTPN13;ARHGAP33;RCN3;RPA3;CDK1;MDM4
GO_Biological_Process_2021	pre-replicative complex assembly (GO:0036388)	8/64	1.037397e-02	3.096631e-01	0	0	2.890157e+00	1.320355e+01	MCM7;MCM8;PSMC4;GMNN;MCM3;MCM4;MCM6;CDC6
GO_Biological_Process_2021	intraciliary transport involved in cilium assembly (GO:0035735)	6/40	1.073499e-02	3.096631e-01	0	0	3.566731e+00	1.617244e+01	PCM1;IFT81;TRIP11;IFT80;KIF17;HSPB11
