Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	E2F Targets	50/200	8.584099e-23	4.206208e-21	0	0	7.024526e+00	3.569130e+02	MRE11;MCM7;SUV39H1;BUB1B;PSIP1;BRCA1;MKI67;SMC4;CKS1B;LMNB1;CHEK2;KPNA2;TMPO;TCF19;LIG1;TUBB;SMC1A;CIT;MCM3;BIRC5;MCM4;LUC7L3;MCM6;SNRPB;DNMT1;PCNA;RNASEH2A;CDCA3;HMMR;UNG;RAD21;USP1;E2F8;BARD1;GINS1;NOP56;RANBP1;RRM2;ATAD2;HMGA1;DEK;DIAPH3;NASP;RPA3;ANP32E;CDK1;CENPM;NCAPD2;MXD3;SPC25
MSigDB_Hallmark_2020	G2-M Checkpoint	35/200	1.836213e-11	4.498722e-10	0	0	4.393142e+00	1.086017e+02	DTYMK;SUV39H1;CCNF;HMMR;MKI67;SMC4;SMC2;KIF15;CKS1B;LMNB1;CDC45;RAD21;NSD2;NUSAP1;FBXO5;KPNA2;SRSF10;TMPO;BARD1;GINS2;SLC38A1;HMGA1;CDC6;FOXN3;SMC1A;TRAIP;RBL1;NASP;INCENP;PRC1;CDK1;MCM3;BIRC5;MCM6;KIF20B
MSigDB_Hallmark_2020	Mitotic Spindle	27/199	8.349392e-07	1.363734e-05	0	0	3.221606e+00	4.508930e+01	TUBGCP2;ARHGAP5;SMC4;KIF15;ARHGAP4;LMNB1;PCM1;CNTRL;NUSAP1;FBXO5;ECT2;SAC3D1;GSN;SMC1A;CKAP5;CCDC88A;MYO1E;BIN1;INCENP;PRC1;CDK1;NF1;TUBGCP6;BIRC5;KIF20B;KPTN;RAPGEF6
MSigDB_Hallmark_2020	Myc Targets V1	21/200	5.456134e-04	6.683764e-03	0	0	2.391218e+00	1.796666e+01	NOP56;RANBP1;PCNA;RFC4;MCM7;PABPC4;RPS5;DEK;ILF2;SRM;PPM1G;EEF1B2;CDC45;PSMC4;C1QBP;APEX1;USP1;MCM4;SNRPD3;MCM6;KPNA2
MSigDB_Hallmark_2020	DNA Repair	15/150	5.079947e-03	4.978348e-02	0	0	2.255365e+00	1.191386e+01	RFC5;FEN1;RFC4;PCNA;LIG1;GTF3C5;PRIM1;DDB2;NT5C;NUDT9;POLA1;RPA3;TK2;ERCC5;SAC3D1
MSigDB_Hallmark_2020	Estrogen Response Late	14/200	9.371805e-02	7.653641e-01	0	0	1.522076e+00	3.603461e+00	GINS2;ST14;RNASEH2A;OPN3;ARL3;MYOF;PTGER3;IDH2;CDC6;SLC2A8;NRIP1;AGR2;SFN;JAK1
MSigDB_Hallmark_2020	Androgen Response	7/100	1.954355e-01	9.964343e-01	0	0	1.518188e+00	2.478480e+00	GUCY1A1;CDK6;XRCC5;NGLY1;CENPN;GPD1L;FADS1
MSigDB_Hallmark_2020	Interferon Gamma Response	12/200	2.399592e-01	9.964343e-01	0	0	1.287860e+00	1.838145e+00	RNF31;AUTS2;DDX58;P2RY14;STAT3;XCL1;CD69;SAMHD1;FCGR1A;RAPGEF6;CMTR1;GPR18
MSigDB_Hallmark_2020	Inflammatory Response	12/200	2.399592e-01	9.964343e-01	0	0	1.287860e+00	1.838145e+00	PTGER4;P2RX7;PTPRE;IFITM1;HRH1;LCK;C3AR1;CD69;IL7R;SCARF1;IL18R1;BEST1
MSigDB_Hallmark_2020	p53 Pathway	12/200	2.399592e-01	9.964343e-01	0	0	1.287860e+00	1.838145e+00	PTPRE;PIDD1;ST14;PCNA;DGKA;SESN1;RHBDF2;WWP1;SFN;ERCC5;COQ8A;DDB2
MSigDB_Hallmark_2020	Myc Targets V2	4/58	2.946129e-01	9.964343e-01	0	0	1.492400e+00	1.823852e+00	NOP56;MCM4;SRM;UNG
MSigDB_Hallmark_2020	Adipogenesis	11/200	3.489707e-01	9.964343e-01	0	0	1.172975e+00	1.234870e+00	STAT5A;DHRS7;DGAT1;NKIRAS1;PTGER3;CMPK1;SUCLG1;CD302;ESYT1;LTC4S;IDH3A
MSigDB_Hallmark_2020	Unfolded Protein Response	6/113	4.469180e-01	9.964343e-01	0	0	1.129004e+00	9.092773e-01	NOP56;SPCS1;FUS;CHAC1;LSM4;CKS1B
